"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BISSON","NERON","PLANT","RICKARD","SPACEK","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"093","TIMMINS--JAMES BAY","001","U","PEAWANUCK","13","0","0","2","0","0","0","0","15","83","Matahhamao School"
"093","TIMMINS--JAMES BAY","002","U","PEAWANUCK","..........................NO POLL HELD..........................","","","","","","","","","",""
"093","TIMMINS--JAMES BAY","003","U","ATTAWAPISKAT","..........................NO POLL HELD..........................","","","","","","","","","",""
"093","TIMMINS--JAMES BAY","004","U","ATTAWAPISKAT","36","2","1","8","2","0","0","0","49","452","St. Francis Xavier Community Centre"
"093","TIMMINS--JAMES BAY","005","R","KASHECHEWAN","48","2","0","51","0","0","0","0","101","100","Kashechewan Band Office"
"093","TIMMINS--JAMES BAY","006","U","FORT ALBANY","25","0","0","34","0","0","0","0","59","82","Fort Albany First Nation"
"093","TIMMINS--JAMES BAY","007","U","MOOSONEE","25","3","2","21","10","0","0","0","61","410","Moosonee Community Center"
"093","TIMMINS--JAMES BAY","008","U","MOOSONEE","34","1","0","17","7","0","0","0","59","264","Moosonee Community Center"
"093","TIMMINS--JAMES BAY","009","U","MOOSONEE","44","1","2","19","7","0","0","0","73","329","Moosonee Community Center"
"093","TIMMINS--JAMES BAY","010","U","MOOSE FACTORY","107","0","0","141","1","0","0","0","249","373","Moose Cree Complex"
"093","TIMMINS--JAMES BAY","011","U","MATTICE","..........................NO POLL HELD..........................","","","","","","","","","",""
"093","TIMMINS--JAMES BAY","012","R","OGOKI","4","1","0","3","1","0","0","0","9","0","Band Office Ogoki Post"
"093","TIMMINS--JAMES BAY","013","U","MATTICE","..........................NO POLL HELD..........................","","","","","","","","","",""
"093","TIMMINS--JAMES BAY","014","U","CALSTOCK","51","1","1","3","6","0","0","0","62","288","Constance Lake Community Centre"
"093","TIMMINS--JAMES BAY","015","U","HEARST","36","0","1","8","13","0","0","0","58","148","Conseil des Arts"
"093","TIMMINS--JAMES BAY","016","U","HEARST","44","0","0","9","23","0","0","0","76","196","Conseil des Arts"
"093","TIMMINS--JAMES BAY","017","U","HEARST","181","2","4","55","100","0","0","0","342","831","Conseil des Arts"
"093","TIMMINS--JAMES BAY","018","U","HEARST","52","0","0","37","100","3","0","0","192","479","Conseil des Arts"
"093","TIMMINS--JAMES BAY","019","U","HEARST","42","0","2","22","29","0","0","1","96","279","Conseil des Arts"
"093","TIMMINS--JAMES BAY","020","U","HEARST","47","1","3","14","23","0","0","0","88","263","Conseil des Arts"
"093","TIMMINS--JAMES BAY","021","U","HEARST","27","0","2","11","12","0","0","0","52","190","Conseil des Arts"
"093","TIMMINS--JAMES BAY","022","U","HEARST","71","1","5","21","36","1","0","0","135","331","Conseil des Arts"
"093","TIMMINS--JAMES BAY","023","U","HEARST","51","0","1","7","38","0","0","0","97","240","Conseil des Arts"
"093","TIMMINS--JAMES BAY","024","U","HEARST","76","0","1","14","29","2","0","0","122","351","Conseil des Arts"
"093","TIMMINS--JAMES BAY","025","U","HEARST","104","1","0","26","44","0","0","0","175","463","Conseil des Arts"
"093","TIMMINS--JAMES BAY","026","U","HEARST","98","0","2","43","54","0","0","0","197","447","Conseil des Arts"
"093","TIMMINS--JAMES BAY","027","U","JOGUES","72","4","0","15","23","0","0","0","114","272","La Caserne de Pompiers"
"093","TIMMINS--JAMES BAY","028","U","MATTICE","179","0","2","17","81","1","0","0","280","505","École St Francois-Xavier"
"093","TIMMINS--JAMES BAY","029","U","OPASATIKA","83","0","1","6","46","0","0","0","136","282","Club Bonne Humeur"
"093","TIMMINS--JAMES BAY","030","U","VAL RITA","156","0","1","13","77","0","0","0","247","429","École catholique Ste. Rita"
"093","TIMMINS--JAMES BAY","031","U","KAPUSKASING","39","0","0","3","37","0","0","0","79","171","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","032","U","KAPUSKASING","73","1","3","15","103","0","0","0","195","395","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","033","U","KAPUSKASING","58","0","1","12","116","1","0","0","188","408","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","034","U","KAPUSKASING","74","0","2","9","88","0","0","0","173","350","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","035","U","KAPUSKASING","64","2","1","10","90","1","0","0","168","411","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","036","U","KAPUSKASING","68","1","3","10","53","3","0","0","138","401","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","037","U","KAPUSKASING","54","0","1","4","38","0","0","0","97","302","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","038","U","KAPUSKASING","80","0","2","8","118","1","0","0","209","420","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","039","U","KAPUSKASING","47","0","1","1","97","1","3","0","150","352","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","040","U","KAPUSKASING","44","1","3","8","83","0","0","0","139","377","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","041","U","KAPUSKASING","96","0","2","5","58","0","0","0","161","386","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","042","U","KAPUSKASING","45","0","0","4","47","2","0","0","98","274","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","043","U","KAPUSKASING","78","0","0","7","66","0","0","0","151","315","Centre des Loisirs"
"093","TIMMINS--JAMES BAY","044","U","KAPUSKASING","60","0","0","7","57","1","0","0","125","313","Centre des Loisirs"
