"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ABELL","CROWE","DAYE","FALARDEAU","GOODWIN","HOLLIDAY","MURRAY","ROTENBERG","SARAZEN","YAZDANFAR","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"094","TORONTO CENTRE","001","U","TORONTO","49","20","7","0","0","0","133","0","0","0","0","0","0","209","394","Our Lady of Perpetual Help School"
"094","TORONTO CENTRE","002","U","TORONTO","71","19","4","2","0","1","126","2","0","0","0","1","0","226","382","Our Lady of Perpetual Help School"
"094","TORONTO CENTRE","003","U","TORONTO","98","15","2","1","0","0","107","0","0","0","1","0","0","224","394","Our Lady of Perpetual Help School"
"094","TORONTO CENTRE","004","U","TORONTO","73","15","4","1","0","0","93","0","0","0","0","0","0","186","374","Rosedale United Church"
"094","TORONTO CENTRE","005","U","TORONTO","56","14","7","1","0","0","145","0","0","0","1","0","0","224","406","Our Lady of Perpetual Help School"
"094","TORONTO CENTRE","006","U","TORONTO","60","16","2","3","0","0","98","0","0","0","0","0","0","179","387","Our Lady of Perpetual Help School"
"094","TORONTO CENTRE","007","U","TORONTO","63","16","5","1","0","0","88","0","2","0","1","0","0","176","378","Our Lady of Perpetual Help School"
"094","TORONTO CENTRE","008","U","TORONTO","91","7","2","0","0","1","129","0","0","0","0","1","0","231","420","Our Lady of Perpetual Help School"
"094","TORONTO CENTRE","009","U","TORONTO","62","10","1","1","0","0","102","0","0","0","0","0","2","178","346","Rosedale United Church"
"094","TORONTO CENTRE","010","U","TORONTO","109","4","3","0","1","0","97","0","0","0","0","0","0","214","402","Our Lady of Perpetual Help School"
"094","TORONTO CENTRE","011","U","TORONTO","72","24","4","0","0","0","96","0","0","0","3","0","0","199","469","Rosedale United Church"
"094","TORONTO CENTRE","012","U","TORONTO","50","18","6","0","0","0","145","2","1","0","0","0","0","222","494","YWCA 80 Woodlawn"
"094","TORONTO CENTRE","013","U","TORONTO","99","5","2","0","2","0","81","0","0","0","0","0","0","189","431","Rosedale United Church"
"094","TORONTO CENTRE","014","U","TORONTO","90","9","1","1","0","1","85","0","0","0","0","0","0","187","337","Rosedale United Church"
"094","TORONTO CENTRE","015","U","TORONTO","96","5","2","0","0","0","67","0","0","0","2","0","0","172","373","Rosedale United Church"
"094","TORONTO CENTRE","016","U","TORONTO","69","25","6","1","0","0","167","0","0","0","0","3","0","271","562","YWCA 80 Woodlawn"
"094","TORONTO CENTRE","017","U","TORONTO","63","8","4","0","0","0","86","0","0","0","0","0","0","161","314","Rosedale Junior Public School"
"094","TORONTO CENTRE","018","U","TORONTO","67","6","2","0","1","0","76","0","0","0","1","0","1","154","327","Rosedale Junior Public School"
"094","TORONTO CENTRE","019","U","TORONTO","36","17","2","0","0","0","94","0","0","0","1","0","0","150","330","Belmont House"
"094","TORONTO CENTRE","020","U","TORONTO","25","15","2","0","0","0","88","1","0","0","0","0","0","131","318","Fellowship Towers"
"094","TORONTO CENTRE","021","U","TORONTO","27","9","6","0","0","0","75","0","0","0","1","0","0","118","352","Fellowship Towers"
"094","TORONTO CENTRE","022","U","TORONTO","85","10","1","0","0","0","70","0","0","0","1","0","0","167","349","Rosedale Junior Public School"
"094","TORONTO CENTRE","023","U","TORONTO","41","12","2","0","0","0","70","0","0","0","1","0","0","126","254","Rosedale Presbyterian Church"
"094","TORONTO CENTRE","024","U","TORONTO","38","11","2","0","1","1","62","0","0","0","0","0","0","115","233","Rosedale Presbyterian Church"
"094","TORONTO CENTRE","025","U","TORONTO","40","25","4","0","0","0","66","0","0","0","0","0","0","135","300","Rosedale Presbyterian Church"
"094","TORONTO CENTRE","026","U","TORONTO","30","20","3","0","1","1","78","0","0","0","0","0","0","133","300","Belmont House"
"094","TORONTO CENTRE","027","U","TORONTO","52","10","0","1","1","0","109","0","0","0","1","0","0","174","322","Rosedale Junior Public School"
"094","TORONTO CENTRE","028","U","TORONTO","43","22","3","1","0","0","93","0","0","0","2","0","0","164","310","Rosedale Presbyterian Church"
"094","TORONTO CENTRE","029","U","TORONTO","44","25","8","1","1","0","124","0","0","0","0","0","0","203","435","Rosedale Presbyterian Church"
"094","TORONTO CENTRE","030","U","TORONTO","46","9","4","3","0","0","99","0","0","0","0","2","0","163","325","Rosedale Presbyterian Church"
"094","TORONTO CENTRE","031","U","TORONTO","48","9","6","2","0","0","83","0","0","0","0","0","0","148","402","Church of the Redeemer"
"094","TORONTO CENTRE","032","U","TORONTO","44","23","1","1","0","0","71","0","0","0","0","0","0","140","396","Church of the Redeemer"
"094","TORONTO CENTRE","033","U","TORONTO","8","13","0","0","0","0","30","0","0","0","0","0","0","51","136","Church of the Redeemer"
"094","TORONTO CENTRE","034","U","TORONTO","70","38","5","2","1","0","189","2","0","0","2","0","1","310","653","Belmont House"
"094","TORONTO CENTRE","035","U","TORONTO","39","35","3","7","1","0","127","0","0","0","1","0","1","214","401","Fellowship Towers"
"094","TORONTO CENTRE","036","U","TORONTO","49","12","2","1","0","0","69","0","0","0","2","0","0","135","504","Church of the Redeemer"
"094","TORONTO CENTRE","037A","U","TORONTO","28","25","2","2","1","1","70","0","0","0","0","0","0","129","417","Fellowship Towers"
"094","TORONTO CENTRE","037B","U","TORONTO","28","36","3","3","0","0","76","0","0","0","0","0","0","146","459","Fellowship Towers"
"094","TORONTO CENTRE","038","U","TORONTO","6","14","3","0","0","0","39","0","0","0","0","0","0","62","154","Fellowship Towers"
"094","TORONTO CENTRE","039","U","TORONTO","33","42","10","2","1","3","119","0","0","0","1","0","0","211","464","St. Simon the Apostle Anglican Church"
"094","TORONTO CENTRE","040","U","TORONTO","14","24","6","0","0","0","119","0","0","0","0","1","0","164","295","Filipino Centre"
"094","TORONTO CENTRE","041","U","TORONTO","101","14","2","2","0","0","103","0","0","0","4","0","0","226","567","Church of the Redeemer"
"094","TORONTO CENTRE","042A","U","TORONTO","43","48","12","2","0","0","104","0","0","0","0","0","0","209","404","Church of the Redeemer"
"094","TORONTO CENTRE","042B","U","TORONTO","45","33","7","1","0","0","81","0","0","0","3","0","0","170","389","Church of the Redeemer"
