"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CLARKE","JETHI","MERCER","RECKER","RICHARDSON","STERLING","TABUNS","VERA","WHALLEY","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"095","TORONTO--DANFORTH","001","U","TORONTO","0","28","0","2","0","59","86","1","7","2","0","0","185","426","East York Community Centre"
"095","TORONTO--DANFORTH","002","U","TORONTO","0","42","0","2","0","73","88","1","4","1","1","0","212","441","East York Community Centre"
"095","TORONTO--DANFORTH","003","U","TORONTO","2","25","0","3","0","74","82","0","9","1","0","0","196","413","East York Community Centre"
"095","TORONTO--DANFORTH","004","U","TORONTO","2","23","1","1","0","68","92","0","8","1","0","0","196","364","East York Community Centre"
"095","TORONTO--DANFORTH","005","U","TORONTO","0","19","0","2","0","49","82","0","9","0","1","0","162","355","East York Community Centre"
"095","TORONTO--DANFORTH","006","U","TORONTO","1","31","0","1","2","39","74","2","7","0","2","0","159","358","Holy Cross Catholic School"
"095","TORONTO--DANFORTH","007","U","TORONTO","1","35","0","1","1","54","59","0","5","0","0","0","156","381","Cosburn Middle School"
"095","TORONTO--DANFORTH","008","U","TORONTO","0","29","0","3","0","45","58","1","5","1","0","0","142","287","Cosburn Middle School"
"095","TORONTO--DANFORTH","009","U","TORONTO","0","42","0","1","1","80","88","0","6","1","0","0","219","388","Cosburn Middle School"
"095","TORONTO--DANFORTH","010","U","TORONTO","0","32","1","2","1","50","72","0","5","1","0","0","164","398","Cosburn Middle School"
"095","TORONTO--DANFORTH","011","U","TORONTO","2","15","0","7","1","66","69","0","4","2","0","0","166","359","Cosburn Middle School"
"095","TORONTO--DANFORTH","012","U","TORONTO","1","30","0","1","0","63","99","0","10","0","1","0","205","435","Holy Cross Catholic School"
"095","TORONTO--DANFORTH","013","U","TORONTO","0","23","0","2","0","59","90","0","13","0","0","0","187","386","Holy Cross Catholic School"
"095","TORONTO--DANFORTH","014","U","TORONTO","0","16","1","2","0","36","90","0","11","1","0","0","157","365","East York Community Centre"
"095","TORONTO--DANFORTH","015","U","TORONTO","1","23","2","4","0","54","73","2","8","0","0","0","167","380","East York Community Centre"
"095","TORONTO--DANFORTH","016","U","TORONTO","1","28","2","2","2","55","84","0","4","3","0","0","181","377","East York Community Centre"
"095","TORONTO--DANFORTH","017","U","TORONTO","2","26","1","1","0","55","84","2","4","2","0","0","177","518","East York Community Centre"
"095","TORONTO--DANFORTH","018","U","TORONTO","2","28","0","1","2","48","93","1","4","0","0","0","179","484","East York Community Centre"
"095","TORONTO--DANFORTH","019","U","TORONTO","2","22","1","1","0","52","93","0","4","1","1","0","177","594","Estonian House"
"095","TORONTO--DANFORTH","020","U","TORONTO","1","21","0","0","2","50","101","0","6","0","1","2","184","591","Bethany Baptist Church"
"095","TORONTO--DANFORTH","021","U","TORONTO","2","18","0","1","0","47","115","0","8","0","1","0","192","593","East York Community Centre"
"095","TORONTO--DANFORTH","022","U","TORONTO","0","16","1","7","0","59","93","1","2","0","0","0","179","539","Bethany Baptist Church"
"095","TORONTO--DANFORTH","023","U","TORONTO","1","15","0","5","1","32","62","1","3","2","1","0","123","457","Blair Court"
"095","TORONTO--DANFORTH","024","U","TORONTO","1","17","0","2","1","35","70","0","5","0","0","0","131","406","Blair Court"
"095","TORONTO--DANFORTH","025","U","TORONTO","1","11","0","5","0","45","91","0","2","1","0","0","156","385","Blair Court"
"095","TORONTO--DANFORTH","026","U","TORONTO","2","20","0","11","0","37","93","1","4","7","1","0","176","319","Blair Court"
"095","TORONTO--DANFORTH","027","U","TORONTO","0","17","1","2","1","30","71","0","2","0","0","0","124","475","Blair Court"
"095","TORONTO--DANFORTH","028","U","TORONTO","2","9","0","2","0","43","96","2","1","0","0","0","155","382","Bethany Baptist Church"
"095","TORONTO--DANFORTH","029","U","TORONTO","2","24","0","9","3","54","131","0","7","0","0","0","230","569","Bethany Baptist Church"
"095","TORONTO--DANFORTH","030","U","TORONTO","0","14","0","2","0","65","98","0","6","0","1","0","186","548","Estonian House"
"095","TORONTO--DANFORTH","031","U","TORONTO","3","13","0","1","0","49","64","0","5","1","0","0","136","314","Estonian House"
