"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AHMED","FOGEL","GRANT","MARCHESE","OCRAN-CAESAR","THOMSON","URSOMARZO","YEN","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"096","TRINITY--SPADINA","001","U","TORONTO","2","1","10","118","0","46","1","8","0","1","0","187","467","Essex Public School"
"096","TRINITY--SPADINA","002","U","TORONTO","0","1","11","97","0","49","0","8","0","0","0","166","372","St. Alban's Boys & Girls Club"
"096","TRINITY--SPADINA","003","U","TORONTO","3","0","13","92","0","69","0","14","1","0","1","193","427","St. Alban's Boys & Girls Club"
"096","TRINITY--SPADINA","004","U","TORONTO","0","0","16","128","0","77","0","6","1","0","0","228","426","St. Alban's Boys & Girls Club"
"096","TRINITY--SPADINA","005","U","TORONTO","0","0","11","102","0","51","0","12","0","0","0","176","396","St. Alban's Boys & Girls Club"
"096","TRINITY--SPADINA","006","U","TORONTO","0","2","14","144","0","66","0","12","1","1","0","240","492","Essex Public School"
"096","TRINITY--SPADINA","007","U","TORONTO","0","0","11","91","0","65","1","27","1","3","0","199","454","Essex Public School"
"096","TRINITY--SPADINA","008","U","TORONTO","1","0","18","106","2","85","0","10","0","0","0","222","432","Essex Public School"
"096","TRINITY--SPADINA","009","U","TORONTO","0","1","8","76","1","55","0","19","1","0","0","161","346","Essex Public School"
"096","TRINITY--SPADINA","010","U","TORONTO","2","0","15","124","1","80","0","9","0","0","1","232","424","Essex Public School"
"096","TRINITY--SPADINA","011","U","TORONTO","0","0","7","86","0","48","0","7","1","0","0","149","377","Essex Public School"
"096","TRINITY--SPADINA","012","U","TORONTO","1","0","5","68","0","41","0","5","3","0","0","123","319","Essex Public School"
"096","TRINITY--SPADINA","013","U","TORONTO","0","0","13","111","0","76","1","13","2","0","0","216","525","Essex Public School"
"096","TRINITY--SPADINA","014","U","TORONTO","1","0","7","107","1","59","0","4","1","1","0","181","386","Palmerston Avenue Junior Public School"
"096","TRINITY--SPADINA","015","U","TORONTO","0","2","13","137","1","59","0","11","1","0","1","225","470","Palmerston Avenue Junior Public School"
"096","TRINITY--SPADINA","016","U","TORONTO","0","0","7","77","0","67","0","12","0","1","0","164","369","Palmerston Avenue Junior Public School"
"096","TRINITY--SPADINA","017","U","TORONTO","0","0","22","83","0","62","0","8","0","0","0","175","411","Palmerston Avenue Junior Public School"
"096","TRINITY--SPADINA","018","U","TORONTO","0","0","24","106","0","78","0","8","0","0","0","216","475","Palmerston Avenue Junior Public School"
"096","TRINITY--SPADINA","019","U","TORONTO","0","1","20","57","0","53","0","8","0","0","0","139","403","Palmerston Avenue Junior Public School"
"096","TRINITY--SPADINA","020","U","TORONTO","1","2","17","90","1","55","1","4","1","0","0","172","418","Native Canadian Centre"
"096","TRINITY--SPADINA","021","U","TORONTO","0","0","20","71","0","56","0","15","1","0","1","164","424","Native Canadian Centre"
"096","TRINITY--SPADINA","022","U","TORONTO","0","0","19","85","0","63","0","7","0","0","1","175","404","Walmer Road Baptist Church"
"096","TRINITY--SPADINA","023","U","TORONTO","1","2","14","79","0","60","0","5","1","0","0","162","439","Walmer Road Baptist Church"
"096","TRINITY--SPADINA","024","U","TORONTO","0","0","24","60","0","65","2","15","0","0","0","166","447","Walmer Road Baptist Church"
"096","TRINITY--SPADINA","025","U","TORONTO","0","0","18","89","0","104","0","10","0","0","1","222","492","Walmer Road Baptist Church"
"096","TRINITY--SPADINA","026","U","TORONTO","0","0","15","78","0","76","1","7","0","0","0","177","405","Walmer Road Baptist Church"
"096","TRINITY--SPADINA","027","U","TORONTO","0","0","13","63","0","75","1","9","0","0","0","161","365","Walmer Road Baptist Church"
