"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DONOFRIO","FABRIZIO","FRYE","GENCO","MARINO","NATALE","QUATELA","SORBARA","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"097","VAUGHAN","001","U","KLEINBURG","9","3","4","58","0","0","0","45","0","0","0","119","339","École la Fontaine"
"097","VAUGHAN","002","U","KLEINBURG","8","0","4","25","0","0","0","25","0","0","0","62","182","École la Fontaine"
"097","VAUGHAN","003","U","KLEINBURG","6","2","5","95","0","4","0","56","0","1","0","169","420","École la Fontaine"
"097","VAUGHAN","004","U","KLEINBURG","13","3","1","100","0","1","0","80","0","0","0","198","468","Kleinburg Public School"
"097","VAUGHAN","005","U","KLEINBURG","11","3","6","91","0","0","1","100","0","0","0","212","599","Kleinburg Public School"
"097","VAUGHAN","006","U","KLEINBURG","12","0","2","92","0","0","0","75","0","0","0","181","458","École la Fontaine"
"097","VAUGHAN","007","U","KLEINBURG","21","1","5","52","0","1","0","101","0","0","0","181","417","Kleinburg Public School"
"097","VAUGHAN","008","U","KLEINBURG","4","0","1","63","0","0","0","69","0","0","0","137","404","École la Fontaine"
"097","VAUGHAN","009","U","VAUGHAN","19","1","3","56","0","0","0","79","2","1","0","161","405","Lorna Jackson Public School"
"097","VAUGHAN","010","U","VAUGHAN","12","3","0","46","0","0","0","36","1","0","0","98","391","Lorna Jackson Public School"
"097","VAUGHAN","011","U","VAUGHAN","28","1","2","41","0","1","0","77","0","0","0","150","366","Lorna Jackson Public School"
"097","VAUGHAN","012","U","VAUGHAN","13","2","1","46","1","0","0","68","0","1","0","132","362","Lorna Jackson Public School"
"097","VAUGHAN","013","U","VAUGHAN","23","6","2","70","0","1","2","94","1","0","0","199","406","Lorna Jackson Public School"
"097","VAUGHAN","014","U","VAUGHAN","25","3","4","30","0","2","1","66","1","2","0","134","431","Lorna Jackson Public School"
"097","VAUGHAN","015","U","VAUGHAN","21","0","1","76","0","0","0","92","1","2","0","193","441","Lorna Jackson Public School"
"097","VAUGHAN","016","U","WOODBRIDGE","21","3","1","65","0","1","0","68","0","0","0","159","409","St. Stephen Catholic School"
"097","VAUGHAN","017","U","WOODBRIDGE","20","0","1","59","1","0","0","72","2","0","0","155","406","St. Stephen Catholic School"
"097","VAUGHAN","018","U","WOODBRIDGE","13","2","3","48","0","0","0","53","1","0","0","120","366","St. Stephen Catholic School"
"097","VAUGHAN","019","U","VAUGHAN","15","2","1","44","0","0","0","70","1","0","0","133","393","St. Padre Pio Catholic School"
"097","VAUGHAN","020","U","VAUGHAN","23","1","3","47","1","1","1","70","3","0","0","150","399","St. Padre Pio Catholic School"
"097","VAUGHAN","021","U","VAUGHAN","25","3","2","48","0","0","0","91","1","0","0","170","461","St. Padre Pio Catholic School"
"097","VAUGHAN","022","U","VAUGHAN","27","1","0","39","1","0","0","88","0","0","0","156","392","St. Padre Pio Catholic School"
"097","VAUGHAN","023","U","VAUGHAN","22","2","3","34","1","0","0","52","0","1","0","115","318","St. Padre Pio Catholic School"
"097","VAUGHAN","024","U","VAUGHAN","19","4","3","51","1","0","0","70","0","1","0","149","364","St. Padre Pio Catholic School"
"097","VAUGHAN","025","U","VAUGHAN","11","2","2","52","0","0","2","70","2","0","0","141","404","St. Padre Pio Catholic School"
"097","VAUGHAN","026","U","WOODBRIDGE","13","2","1","58","0","2","0","81","1","0","0","158","446","St. Stephen Catholic School"
"097","VAUGHAN","027","U","WOODBRIDGE","14","4","5","48","0","0","0","84","1","0","0","156","417","St. Stephen Catholic School"
"097","VAUGHAN","028","U","WOODBRIDGE","17","0","2","40","0","4","0","54","1","0","0","118","342","St. Stephen Catholic School"
"097","VAUGHAN","029","U","VAUGHAN","6","0","0","41","0","0","0","68","1","0","0","116","411","Elders Mills Public School"
"097","VAUGHAN","030","U","VAUGHAN","26","5","2","39","0","0","0","82","1","0","0","155","452","Elders Mills Public School"
"097","VAUGHAN","031","U","VAUGHAN","15","3","2","27","0","1","0","57","0","0","0","105","373","Elders Mills Public School"
"097","VAUGHAN","032","U","VAUGHAN","9","6","1","20","2","1","0","67","3","0","0","109","354","St. Mary of the Angels"
"097","VAUGHAN","033A","U","VAUGHAN","31","3","3","58","2","6","0","112","1","0","0","216","524","St. Veronica Catholic School"
"097","VAUGHAN","033B","U","VAUGHAN","19","6","0","56","0","0","0","98","0","0","0","179","452","St. Veronica Catholic School"
"097","VAUGHAN","033C","U","VAUGHAN","15","6","0","73","1","1","0","113","0","1","0","210","540","St. Veronica Catholic School"
"097","VAUGHAN","034","U","VAUGHAN","18","0","3","47","0","2","0","85","0","0","0","155","443","St. Veronica Catholic School"
"097","VAUGHAN","035","U","VAUGHAN","15","1","1","47","2","0","3","74","0","0","0","143","515","Vellore Village Community Centre"
"097","VAUGHAN","036","U","VAUGHAN","14","3","0","46","0","0","0","68","0","1","0","132","376","St. Veronica Catholic School"
"097","VAUGHAN","037","U","VAUGHAN","14","3","2","32","1","6","1","77","1","0","0","137","422","Vellore Village Community Centre"
"097","VAUGHAN","038","U","WOODBRIDGE","20","0","3","50","0","1","0","73","0","0","0","147","415","St. Jean de Brebeuf Catholic School"
"097","VAUGHAN","039","U","WOODBRIDGE","27","5","2","44","0","1","0","82","0","0","0","161","529","St. Jean de Brebeuf Catholic School"
"097","VAUGHAN","040","U","WOODBRIDGE","24","4","1","12","1","1","0","46","1","0","0","90","388","St. Jean de Brebeuf Catholic School"
"097","VAUGHAN","041","U","VAUGHAN","27","2","1","42","2","1","1","52","2","0","0","130","413","St. Agnes of Assisi Catholic Elementary School"
"097","VAUGHAN","042","U","WOODBRIDGE","21","5","1","34","0","1","0","53","0","0","0","115","433","St. Jean de Brebeuf Catholic School"
"097","VAUGHAN","043","U","WOODBRIDGE","20","0","0","47","0","0","1","56","0","0","0","124","449","St. Jean de Brebeuf Catholic School"
"097","VAUGHAN","044","U","VAUGHAN","20","1","2","40","1","1","0","48","0","1","0","114","393","St. Veronica Catholic School"
"097","VAUGHAN","045A","U","VAUGHAN","14","4","1","39","1","0","3","56","0","0","0","118","349","St. Veronica Catholic School"
