"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","CRIDLAND","FORSTER","HAMILTON","MERCIER","URSINI","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"098","WELLAND","001","U","ST CATHARINES","3","48","0","25","85","0","1","0","162","318","Club Roma"
"098","WELLAND","002","U","ST CATHARINES","2","63","2","25","40","0","0","0","132","382","Club Roma"
"098","WELLAND","003","U","ST CATHARINES","7","66","4","62","78","3","0","0","220","477","West Park Secondary School"
"098","WELLAND","004","U","ST CATHARINES","2","49","0","29","50","0","0","0","130","357","West Park Secondary School"
"098","WELLAND","005","U","ST CATHARINES","1","66","5","22","30","1","0","0","125","337","West Park Secondary School"
"098","WELLAND","006","U","ST. CATHARINES","5","51","1","17","33","1","0","0","108","312","West St. Catharines Seniors Centre"
"098","WELLAND","007","U","ST. CATHARINES","5","77","2","40","41","2","0","0","167","507","West St. Catharines Seniors Centre"
"098","WELLAND","008","U","ST. CATHARINES","13","144","2","39","41","0","0","0","239","595","West St. Catharines Seniors Centre"
"098","WELLAND","009","U","ST. CATHARINES","9","51","7","18","32","0","0","0","117","405","West St. Catharines Seniors Centre"
"098","WELLAND","010","U","ST CATHARINES","7","56","1","21","22","2","0","1","110","443","West Park Secondary School"
"098","WELLAND","011","U","ST CATHARINES","5","51","1","68","79","3","0","0","207","499","West Park Secondary School"
"098","WELLAND","012","U","ST CATHARINES","5","53","2","61","65","0","0","0","186","499","West Park Secondary School"
"098","WELLAND","013","U","ST CATHARINES","4","37","1","57","79","1","0","0","179","406","Club Roma"
"098","WELLAND","014","U","ST CATHARINES","5","50","6","40","44","1","0","0","146","387","Club Roma"
"098","WELLAND","015","U","ST CATHARINES","2","51","2","21","26","0","0","0","102","313","West Park Secondary School"
"098","WELLAND","016","U","ST CATHARINES","3","64","5","21","54","1","0","0","148","475","West Park Secondary School"
"098","WELLAND","017","U","ST CATHARINES","3","80","0","46","61","0","0","0","190","420","West Park Secondary School"
"098","WELLAND","018","U","ST CATHARINES","8","45","3","62","58","1","1","0","178","432","West Park Secondary School"
"098","WELLAND","019","U","ST CATHARINES","1","47","4","62","109","1","0","0","224","452","Club Roma"
"098","WELLAND","020","U","ST CATHARINES","2","56","1","60","99","1","0","0","219","446","Club Roma"
"098","WELLAND","021","U","ST CATHARINES","3","61","1","65","55","0","1","0","186","366","Mountainview United Church"
"098","WELLAND","022","U","ST CATHARINES","2","45","2","58","79","1","1","0","188","383","Club Roma"
"098","WELLAND","023","U","ST. CATHARINES","27","100","15","69","74","1","1","0","287","518","Brock University Lowenberger Residence"
"098","WELLAND","024","U","ST CATHARINES","5","58","2","70","96","1","0","0","232","465","Mountainview United Church"
"098","WELLAND","025","U","ST CATHARINES","5","60","2","78","57","0","0","0","202","382","Mountainview United Church"
"098","WELLAND","026","U","ST CATHARINES","6","24","1","46","44","0","0","0","121","279","Mountainview United Church"
"098","WELLAND","027","U","ST CATHARINES","6","71","2","47","57","0","1","0","184","338","Mountainview United Church"
"098","WELLAND","028","U","ST CATHARINES","6","47","0","50","85","0","0","0","188","346","Mountainview United Church"
"098","WELLAND","029","U","THOROLD","3","52","2","66","99","0","0","0","222","487","Grace Community Church"
"098","WELLAND","030","U","THOROLD","5","71","7","39","60","0","0","0","182","370","Grace Community Church"
"098","WELLAND","031","U","ST CATHARINES","1","73","1","19","37","0","0","0","131","317","Mountainview United Church"
"098","WELLAND","032","U","ST CATHARINES","6","79","0","18","24","0","0","1","128","344","Mountainview United Church"
"098","WELLAND","033","U","ST CATHARINES","5","72","4","9","33","0","0","0","123","362","Mountainview United Church"
"098","WELLAND","034","U","THOROLD","5","77","1","29","29","1","1","0","143","360","Grace Community Church"
"098","WELLAND","035","U","THOROLD","5","83","1","48","30","2","0","0","169","361","Grace Community Church"
"098","WELLAND","036","U","THOROLD","4","65","2","59","56","2","0","0","188","472","Amici's"
"098","WELLAND","037","U","THOROLD","5","77","8","55","55","4","0","0","204","394","Grace Community Church"
"098","WELLAND","038","U","THOROLD","7","99","9","35","38","3","0","0","191","350","Nick Basciano Community Centre"
"098","WELLAND","039","U","THOROLD","5","100","1","20","25","1","0","0","152","373","Holy Rosary Parish Hall"
"098","WELLAND","040","U","THOROLD","4","78","1","19","39","0","0","0","141","340","Holy Rosary Parish Hall"
"098","WELLAND","041","U","THOROLD","0","58","1","11","26","0","0","0","96","222","Holy Rosary Parish Hall"
"098","WELLAND","042","U","THOROLD","7","118","1","44","28","1","0","0","199","530","Holy Rosary Parish Hall"
"098","WELLAND","043","U","THOROLD","2","124","8","39","39","5","0","0","217","455","Holy Rosary Parish Hall"
"098","WELLAND","044","U","THOROLD","1","73","11","30","33","0","0","0","148","320","Nick Basciano Community Centre"
"098","WELLAND","045","U","THOROLD","7","105","4","56","59","5","0","0","236","437","Monsignor Clancy Elementary School"
"098","WELLAND","046","U","THOROLD","5","83","1","32","39","2","0","0","162","372","Grace Community Church"
"098","WELLAND","047","U","THOROLD","3","47","2","18","28","0","0","0","98","249","Monsignor Clancy Elementary School"
"098","WELLAND","048","U","THOROLD","3","52","0","31","46","1","0","0","133","318","Monsignor Clancy Elementary School"
"098","WELLAND","049","U","THOROLD","6","72","3","37","48","1","0","0","167","378","Monsignor Clancy Elementary School"
"098","WELLAND","050","U","THOROLD","2","63","0","36","41","1","0","0","143","364","Monsignor Clancy Elementary School"
"098","WELLAND","051","U","THOROLD","3","72","2","18","33","0","0","0","128","331","Monsignor Clancy Elementary School"
"098","WELLAND","052","U","THOROLD","1","80","1","47","34","0","0","0","163","355","Monsignor Clancy Elementary School"
"098","WELLAND","053","U","THOROLD","0","77","1","18","25","0","0","0","121","333","Monsignor Clancy Elementary School"
"098","WELLAND","054","U","THOROLD","2","46","1","11","14","1","0","0","75","249","Nick Basciano Community Centre"
"098","WELLAND","055","U","THOROLD","2","67","7","30","23","1","0","0","130","325","Nick Basciano Community Centre"
"098","WELLAND","056","U","THOROLD","1","93","1","28","40","3","1","0","167","325","Nick Basciano Community Centre"
"098","WELLAND","057","U","THOROLD","1","75","7","28","24","1","0","0","136","356","Nick Basciano Community Centre"
"098","WELLAND","058","U","THOROLD","1","86","4","28","18","0","1","0","138","300","Holy Rosary Parish Hall"
"098","WELLAND","059","U","THOROLD","0","61","3","27","25","2","1","0","119","316","Club Capri"
"098","WELLAND","060","U","THOROLD","4","51","2","22","20","0","0","0","99","245","Club Capri"
"098","WELLAND","061","U","THOROLD","9","76","0","30","15","0","0","0","130","284","Club Capri"
"098","WELLAND","062","U","THOROLD","3","55","1","21","17","0","0","0","97","262","Club Capri"
"098","WELLAND","063","U","THOROLD","4","121","3","14","36","1","0","0","179","384","John-Michael's Banquet and Conference Centre"
"098","WELLAND","064","U","THOROLD","7","91","1","14","34","0","0","0","147","406","Club Capri"
"098","WELLAND","065","U","THOROLD","2","78","2","11","17","0","0","0","110","307","John-Michael's Banquet and Conference Centre"
"098","WELLAND","066","U","THOROLD","6","93","0","13","19","0","0","0","131","315","John-Michael's Banquet and Conference Centre"
"098","WELLAND","067","U","THOROLD","2","113","2","24","50","1","0","0","192","482","John-Michael's Banquet and Conference Centre"
"098","WELLAND","068","U","THOROLD","2","67","1","19","45","1","0","0","135","348","John-Michael's Banquet and Conference Centre"
"098","WELLAND","069","U","PORT ROBINSON","4","104","0","27","67","0","0","0","202","494","Port Robinson Community Centre"
"098","WELLAND","070","U","THOROLD","1","59","2","21","31","0","0","0","114","345","Amici's"
"098","WELLAND","071","U","PORT ROBINSON","2","59","0","5","53","0","0","0","119","253","Club Castropignano"
"098","WELLAND","072","U","THOROLD","2","45","1","20","98","0","0","0","166","348","Amici's"
"098","WELLAND","073","U","PORT ROBINSON","6","61","0","25","56","0","0","0","148","364","Club Castropignano"
"098","WELLAND","074","U","WELLAND","5","76","0","31","61","0","0","0","173","317","Alexander Kuska School"
"098","WELLAND","075","U","WELLAND","0","56","2","63","55","1","0","0","177","390","Alexander Kuska School"
"098","WELLAND","076","U","WELLAND","1","101","1","52","86","1","0","0","242","554","Alexander Kuska School"
"098","WELLAND","077","U","WELLAND","3","91","3","51","50","0","0","0","198","528","Alexander Kuska School"
"098","WELLAND","078","U","WELLAND","3","62","1","43","31","2","0","0","142","356","Wesley United Church"
"098","WELLAND","079","U","WELLAND","3","62","2","40","60","0","0","0","167","412","Alexander Kuska School"
"098","WELLAND","080","U","WELLAND","6","74","1","38","56","1","0","0","176","401","Alexander Kuska School"
"098","WELLAND","081","U","WELLAND","5","95","1","78","108","0","0","1","288","584","Calvary Gospel Church"
"098","WELLAND","082","U","WELLAND","5","64","2","46","48","1","0","0","166","399","Calvary Gospel Church"
"098","WELLAND","083","U","WELLAND","10","57","0","52","48","1","0","0","168","340","Calvary Gospel Church"
"098","WELLAND","084","U","WELLAND","3","88","1","45","87","1","0","0","225","435","Calvary Gospel Church"
"098","WELLAND","085","U","WELLAND","3","74","2","56","72","0","0","0","207","435","Calvary Gospel Church"
"098","WELLAND","086","U","WELLAND","0","58","0","37","45","1","0","1","142","378","Calvary Gospel Church"
"098","WELLAND","087","U","WELLAND","10","85","1","54","65","0","1","0","216","589","Calvary Gospel Church"
"098","WELLAND","088","U","WELLAND","2","71","1","30","55","0","0","0","159","392","Calvary Gospel Church"
"098","WELLAND","089","U","WELLAND","3","64","2","26","49","1","0","0","145","343","St. Davids Anglican Church"
"098","WELLAND","090","U","WELLAND","5","72","2","54","46","1","0","0","180","419","Centennial Secondary School"
"098","WELLAND","091","U","WELLAND","2","64","1","38","68","1","0","0","174","417","Centennial Secondary School"
"098","WELLAND","092","U","WELLAND","1","50","0","23","37","2","0","0","113","278","Wesley United Church"
"098","WELLAND","093","U","WELLAND","2","85","2","27","69","0","0","0","185","426","Wesley United Church"
"098","WELLAND","094","U","WELLAND","4","74","0","61","74","1","0","0","214","412","Wesley United Church"
"098","WELLAND","095","U","WELLAND","3","75","1","35","45","1","0","0","160","358","Centennial Secondary School"
"098","WELLAND","096","U","WELLAND","2","41","1","24","26","0","0","0","94","219","Centennial Secondary School"
"098","WELLAND","097","U","WELLAND","10","81","1","40","43","0","0","0","175","409","Wesley United Church"
"098","WELLAND","098","U","WELLAND","1","47","0","22","41","0","0","0","111","316","Notre Dame College School"
"098","WELLAND","099","U","WELLAND","7","47","1","52","53","0","0","0","160","361","Notre Dame College School"
"098","WELLAND","100","U","WELLAND","6","72","2","46","47","1","1","0","175","438","Notre Dame College School"
"098","WELLAND","101","U","WELLAND","5","75","2","53","53","0","0","0","188","409","Wesley United Church"
"098","WELLAND","102","U","WELLAND","6","77","3","32","57","0","0","0","175","395","Centennial Secondary School"
"098","WELLAND","103","U","WELLAND","5","110","5","45","80","0","1","0","246","509","St. Davids Anglican Church"
"098","WELLAND","104","U","WELLAND","1","53","1","18","63","0","1","0","137","317","St. Davids Anglican Church"
"098","WELLAND","105","U","WELLAND","3","66","3","31","61","0","0","1","165","374","Wellspring Community Church"
"098","WELLAND","106","U","WELLAND","3","37","2","13","27","0","0","0","82","255","Wellspring Community Church"
"098","WELLAND","107","U","WELLAND","3","79","1","51","61","2","0","1","198","459","Wellspring Community Church"
"098","WELLAND","108","U","WELLAND","9","82","3","58","76","2","1","0","231","444","Wellspring Community Church"
"098","WELLAND","109","U","WELLAND","2","75","2","33","60","0","0","0","172","336","Holy Name School"
"098","WELLAND","110","U","WELLAND","2","77","3","39","62","2","1","0","186","366","Holy Name School"
"098","WELLAND","111","U","WELLAND","1","66","4","21","49","0","0","0","141","279","Holy Name School"
"098","WELLAND","112","U","WELLAND","4","85","0","32","58","0","0","0","179","495","Centennial Secondary School"
"098","WELLAND","113","U","WELLAND","8","41","0","55","57","0","0","1","162","360","Wesley United Church"
"098","WELLAND","114","U","WELLAND","10","100","1","44","57","2","0","0","214","472","Notre Dame College School"
"098","WELLAND","115","U","WELLAND","6","131","1","39","66","0","0","0","243","615","St. Andrews Presbyterian Church"
"098","WELLAND","116","U","WELLAND","5","73","1","38","36","0","0","0","153","303","Knox Presbyterian Church"
"098","WELLAND","117","U","WELLAND","1","71","2","42","55","0","0","0","171","320","Knox Presbyterian Church"
"098","WELLAND","118","U","WELLAND","1","71","2","47","80","0","0","0","201","409","Knox Presbyterian Church"
"098","WELLAND","119","U","WELLAND","4","85","3","28","76","0","0","0","196","405","Knox Presbyterian Church"
"098","WELLAND","120","U","WELLAND","3","67","1","28","46","0","0","0","145","353","Wellspring Community Church"
"098","WELLAND","121","U","WELLAND","0","73","0","67","91","0","0","1","232","435","Wellspring Community Church"
"098","WELLAND","122","U","WELLAND","6","85","1","42","42","2","0","0","178","429","Croatian National Home"
"098","WELLAND","123","U","WELLAND","10","126","2","28","47","0","0","0","213","496","St. Andrews Presbyterian Church"
"098","WELLAND","124","U","WELLAND","2","94","2","14","50","2","0","0","164","370","Croatian National Home"
