"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ARNOTT","DARTSCH","HAMILTON","JOHNSON","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"099","WELLINGTON--HALTON HILLS","001","U","BELWOOD","207","10","30","17","0","0","0","264","501","Pine Meadows Community Centre"
"099","WELLINGTON--HALTON HILLS","002","U","BELWOOD","183","0","31","40","1","1","0","256","341","Pine Meadows Community Centre"
"099","WELLINGTON--HALTON HILLS","003","U","BELWOOD","182","6","33","31","0","0","0","252","548","Pine Meadows Community Centre"
"099","WELLINGTON--HALTON HILLS","004","U","BELWOOD","116","6","53","24","0","0","0","199","548","Pine Meadows Community Centre"
"099","WELLINGTON--HALTON HILLS","005","U","FERGUS","166","5","39","41","0","0","0","251","515","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","006","U","BELWOOD","110","0","14","15","0","0","0","139","279","Pine Meadows Community Centre"
"099","WELLINGTON--HALTON HILLS","007","U","FERGUS","88","6","16","19","2","0","0","131","267","Wellington County Museum and Archives"
"099","WELLINGTON--HALTON HILLS","008","U","ELORA","107","5","13","35","0","0","1","161","444","Elora and District Community Centre"
"099","WELLINGTON--HALTON HILLS","009","U","ARISS","84","4","32","41","0","0","0","161","332","Bethany United Church"
"099","WELLINGTON--HALTON HILLS","010","U","ARISS","53","3","8","21","0","0","0","85","138","Bethany United Church"
"099","WELLINGTON--HALTON HILLS","011","U","ENNOTVILLE","144","9","26","43","2","1","0","225","409","Ennotville Historical Library"
"099","WELLINGTON--HALTON HILLS","012","U","FERGUS","106","6","22","27","0","0","0","161","433","Centre Wellington Community Sportsplex"
"099","WELLINGTON--HALTON HILLS","013","U","FERGUS","56","1","22","15","1","0","0","95","233","St. Joseph's Catholic School"
"099","WELLINGTON--HALTON HILLS","014","U","FERGUS","104","3","40","44","0","0","0","191","504","St. Joseph's Catholic School"
"099","WELLINGTON--HALTON HILLS","015","U","FERGUS","69","4","26","23","0","0","0","122","269","St. Joseph's Catholic School"
"099","WELLINGTON--HALTON HILLS","016","U","FERGUS","135","4","37","37","1","0","0","214","523","St. Joseph's Catholic School"
"099","WELLINGTON--HALTON HILLS","017","U","FERGUS","121","5","20","45","1","0","0","192","474","St. Joseph's Catholic School"
"099","WELLINGTON--HALTON HILLS","018","U","FERGUS","85","4","18","18","0","0","0","125","325","St. Joseph's Catholic School"
"099","WELLINGTON--HALTON HILLS","019","U","FERGUS","89","5","20","17","2","1","0","134","364","St. Joseph's Catholic School"
