ED_CODE,ED_NAME,POLL_NUMBER,RURAL_INDICATOR,PLACE_NAME,ELLIOTT,GIBSON,KING,ROY,SADEM-THOMPSON,THOM,REJECTED,UNMARKED,DECLINED,VOTER_TURNOUT,ELECTORS,POLL_LOCATION
100,WHITBY--OSHAWA,1,U,WHITBY,80,6,1,76,18,2,1,0,0,184,421,Whitby Shores Public School
100,WHITBY--OSHAWA,2,U,WHITBY,80,6,1,72,15,1,0,0,0,175,402,Whitby Shores Public School
100,WHITBY--OSHAWA,3,U,WHITBY,65,2,1,103,35,1,0,0,2,209,445,Whitby Shores Public School
100,WHITBY--OSHAWA,4,U,WHITBY,88,14,1,99,38,0,1,1,0,242,472,Whitby Shores Public School
100,WHITBY--OSHAWA,5,U,WHITBY,65,10,0,80,22,1,0,0,0,178,419,Whitby Shores Public School
100,WHITBY--OSHAWA,6,U,WHITBY,93,6,0,118,41,0,0,0,0,258,530,Whitby Shores Public School
100,WHITBY--OSHAWA,7,U,WHITBY,55,4,0,45,32,0,0,0,1,137,389,Whitby Shores Public School
100,WHITBY--OSHAWA,8,U,WHITBY,40,2,0,37,16,0,0,0,0,95,356,Sir William Stephenson Public School
100,WHITBY--OSHAWA,9,U,WHITBY,62,4,0,78,42,1,1,0,0,188,521,Bellwood Public School
100,WHITBY--OSHAWA,10,U,WHITBY,81,5,0,83,49,1,1,0,0,220,458,Bellwood Public School
100,WHITBY--OSHAWA,11,U,WHITBY,111,7,5,78,37,0,0,0,0,238,491,Bellwood Public School
100,WHITBY--OSHAWA,12,U,WHITBY,85,3,0,82,41,1,3,0,0,215,446,Bellwood Public School
100,WHITBY--OSHAWA,13,U,WHITBY,64,8,1,36,23,0,0,0,0,132,362,Dr. Robert Thornton Public School
100,WHITBY--OSHAWA,14,U,WHITBY,76,4,0,70,33,1,0,0,0,184,401,Bellwood Public School
100,WHITBY--OSHAWA,15,U,WHITBY,80,2,2,63,53,1,0,0,0,201,400,Bellwood Public School
100,WHITBY--OSHAWA,16,U,WHITBY,72,6,0,47,50,2,0,0,0,177,451,Bellwood Public School
100,WHITBY--OSHAWA,17,U,WHITBY,34,2,1,26,21,0,0,0,0,84,293,C. E. Broughton Public School
100,WHITBY--OSHAWA,18,U,WHITBY,53,4,0,37,37,0,0,0,1,132,482,Sir William Stephenson Public School
100,WHITBY--OSHAWA,19,U,WHITBY,108,5,0,54,39,0,0,0,0,206,450,Sir William Stephenson Public School
100,WHITBY--OSHAWA,20,U,WHITBY,75,5,2,41,42,0,0,1,0,166,446,Sir William Stephenson Public School
100,WHITBY--OSHAWA,21,U,WHITBY,80,2,1,44,35,0,0,0,0,162,460,Whitby Senior's Activity Centre
100,WHITBY--OSHAWA,22,U,WHITBY,102,2,0,84,41,0,0,0,0,229,459,Sir William Stephenson Public School
100,WHITBY--OSHAWA,23,U,WHITBY,102,0,0,87,26,2,0,0,0,217,413,Sir William Stephenson Public School
100,WHITBY--OSHAWA,24,U,WHITBY,96,6,2,68,28,0,1,0,0,201,371,Sir William Stephenson Public School
100,WHITBY--OSHAWA,25,U,WHITBY,.......................COMBINED WITH POLL 026.......................,,,,,,,,,,,Whitby Senior's Activity Centre
100,WHITBY--OSHAWA,26,U,WHITBY,93,3,1,78,41,0,1,0,0,217,473,Whitby Senior's Activity Centre
100,WHITBY--OSHAWA,27,U,WHITBY,65,5,0,54,23,0,0,0,0,147,412,Sir William Stephenson Public School
100,WHITBY--OSHAWA,28,U,WHITBY,70,4,1,73,21,0,0,0,0,169,440,Whitby Senior's Activity Centre
100,WHITBY--OSHAWA,29,U,WHITBY,.......................COMBINED WITH POLL 030.......................,,,,,,,,,,,Whitby Senior's Activity Centre
100,WHITBY--OSHAWA,30,U,WHITBY,54,7,0,54,26,0,0,0,0,141,478,Henry Street High School
100,WHITBY--OSHAWA,31,U,WHITBY,58,1,1,51,23,1,0,0,0,135,313,Henry Street High School
100,WHITBY--OSHAWA,32,U,WHITBY,86,5,0,43,31,2,1,0,0,168,340,Henry Street High School
100,WHITBY--OSHAWA,33,U,WHITBY,41,4,1,17,17,1,0,0,0,81,203,Henry Street High School
100,WHITBY--OSHAWA,34,U,WHITBY,69,6,1,57,35,0,0,0,0,168,407,Henry Street High School
100,WHITBY--OSHAWA,35,U,WHITBY,69,3,3,44,38,2,1,0,1,161,383,West Lynde Public School
100,WHITBY--OSHAWA,36,U,WHITBY,81,6,2,53,30,0,2,0,0,174,384,West Lynde Public School
100,WHITBY--OSHAWA,37,U,WHITBY,79,7,0,88,31,1,0,0,0,206,443,West Lynde Public School
100,WHITBY--OSHAWA,38,U,WHITBY,80,8,1,73,21,0,0,0,0,183,378,West Lynde Public School
100,WHITBY--OSHAWA,39,U,WHITBY,77,4,0,54,22,2,1,0,0,160,397,West Lynde Public School
100,WHITBY--OSHAWA,40,U,WHITBY,61,4,0,37,27,0,0,0,1,130,363,West Lynde Public School
100,WHITBY--OSHAWA,41,U,WHITBY,109,2,1,94,29,0,0,0,0,235,450,Salvation Army Temple
100,WHITBY--OSHAWA,42,U,WHITBY,107,3,0,57,21,0,1,0,0,189,452,Colonel J. E. Farewell Public School
100,WHITBY--OSHAWA,43,U,WHITBY,118,2,0,67,33,0,0,0,1,221,438,Colonel J. E. Farewell Public School
100,WHITBY--OSHAWA,44,U,WHITBY,84,10,0,46,36,0,0,0,0,176,428,Colonel J. E. Farewell Public School
100,WHITBY--OSHAWA,45,U,WHITBY,77,7,0,70,19,0,0,0,0,173,389,Salvation Army Temple
100,WHITBY--OSHAWA,46,U,WHITBY,97,6,0,99,18,1,0,0,0,221,401,Salvation Army Temple
100,WHITBY--OSHAWA,47,U,WHITBY,111,5,1,81,14,1,0,0,1,214,409,E. A. Fairman Public School
100,WHITBY--OSHAWA,48,U,WHITBY,122,2,0,75,16,1,0,0,0,216,415,Salvation Army Temple
100,WHITBY--OSHAWA,49,U,WHITBY,99,2,1,77,34,0,0,0,0,213,440,Colonel J. E. Farewell Public School
100,WHITBY--OSHAWA,50,U,WHITBY,92,8,3,65,26,2,0,0,0,196,442,Salvation Army Temple
100,WHITBY--OSHAWA,51,U,WHITBY,87,4,1,67,27,0,2,0,0,188,435,E. A. Fairman Public School
100,WHITBY--OSHAWA,52,U,WHITBY,105,17,1,63,38,0,0,0,0,224,442,E. A. Fairman Public School
100,WHITBY--OSHAWA,53,U,WHITBY,81,9,0,56,20,1,1,0,0,168,355,E. A. Fairman Public School
100,WHITBY--OSHAWA,54,U,WHITBY,97,13,0,83,36,0,0,0,0,229,437,E. A. Fairman Public School
100,WHITBY--OSHAWA,55,U,WHITBY,94,10,0,62,42,1,0,0,0,209,425,E. A. Fairman Public School
100,WHITBY--OSHAWA,56,U,WHITBY,42,1,2,37,26,0,1,0,0,109,425,St. Mark's United Church
100,WHITBY--OSHAWA,57,U,WHITBY,49,1,1,31,24,1,0,0,0,107,424,St. Mark's United Church
100,WHITBY--OSHAWA,58,U,WHITBY,83,6,1,58,32,3,0,0,0,183,440,St. Mark's United Church
100,WHITBY--OSHAWA,59,U,WHITBY,103,4,0,94,43,2,0,1,0,247,482,Whitby Civic Centre
100,WHITBY--OSHAWA,60,U,WHITBY,65,7,1,25,33,0,0,0,1,132,333,Donald A. Wilson Secondary School
100,WHITBY--OSHAWA,61,U,WHITBY,98,9,2,47,30,1,0,0,0,187,452,Donald A. Wilson Secondary School
100,WHITBY--OSHAWA,62,U,WHITBY,94,5,0,57,41,0,0,0,0,197,441,Donald A. Wilson Secondary School
100,WHITBY--OSHAWA,63,U,WHITBY,53,5,0,50,40,0,0,0,0,148,456,Whitby Civic Centre
100,WHITBY--OSHAWA,64,U,WHITBY,99,1,0,66,21,0,0,1,0,188,448,Whitby Civic Centre
100,WHITBY--OSHAWA,65,U,WHITBY,87,5,1,46,21,0,0,1,0,161,387,Whitby Civic Centre
100,WHITBY--OSHAWA,66,U,WHITBY,85,4,2,50,25,2,2,0,0,170,489,Whitby Civic Centre
100,WHITBY--OSHAWA,67,U,WHITBY,87,1,0,52,24,0,0,1,0,165,441,Glen Dhu Public School
100,WHITBY--OSHAWA,68,U,WHITBY,84,9,1,65,18,4,0,0,0,181,421,Pringle Creek Public School
100,WHITBY--OSHAWA,69,U,WHITBY,113,2,0,83,21,6,0,0,0,225,457,Pringle Creek Public School
100,WHITBY--OSHAWA,70,U,WHITBY,88,4,1,106,18,0,1,0,0,218,456,Pringle Creek Public School
100,WHITBY--OSHAWA,71,U,WHITBY,101,3,0,50,17,0,0,0,0,171,467,Westminster United Church
100,WHITBY--OSHAWA,72,U,WHITBY,112,4,1,72,31,0,0,0,0,220,484,Dr. Robert Thornton Public School
100,WHITBY--OSHAWA,73,U,WHITBY,94,9,2,68,33,0,0,0,0,206,479,Pringle Creek Public School
100,WHITBY--OSHAWA,74,U,WHITBY,109,5,0,65,31,0,0,0,0,210,393,Pringle Creek Public School
100,WHITBY--OSHAWA,75,U,WHITBY,101,4,4,73,28,1,2,0,0,213,467,Pringle Creek Public School
100,WHITBY--OSHAWA,76,U,WHITBY,98,1,1,55,12,0,1,0,0,168,345,C. E. Broughton Public School
100,WHITBY--OSHAWA,77,U,WHITBY,60,4,0,57,16,0,1,0,0,138,314,C. E. Broughton Public School
100,WHITBY--OSHAWA,78,U,WHITBY,103,2,1,66,39,1,0,0,0,212,461,C. E. Broughton Public School
100,WHITBY--OSHAWA,79,U,WHITBY,33,2,1,39,27,0,0,0,0,102,375,C. E. Broughton Public School
100,WHITBY--OSHAWA,80,U,WHITBY,110,9,0,58,39,1,0,0,0,217,448,C. E. Broughton Public School
100,WHITBY--OSHAWA,81,U,WHITBY,77,3,0,42,23,1,0,0,0,146,389,C. E. Broughton Public School
100,WHITBY--OSHAWA,82,U,WHITBY,114,2,1,55,27,0,0,0,0,199,423,C. E. Broughton Public School
100,WHITBY--OSHAWA,83,U,WHITBY,125,7,0,68,35,0,0,1,0,236,486,Dr. Robert Thornton Public School
100,WHITBY--OSHAWA,84,U,WHITBY,112,5,0,89,42,0,0,0,0,248,470,Dr. Robert Thornton Public School
100,WHITBY--OSHAWA,85,U,WHITBY,105,2,0,85,16,0,0,1,0,209,432,Dr. Robert Thornton Public School
100,WHITBY--OSHAWA,86,U,WHITBY,116,0,1,67,23,0,0,0,0,207,481,Dr. Robert Thornton Public School
100,WHITBY--OSHAWA,87,U,WHITBY,122,3,1,60,37,1,0,0,0,224,437,St. Paul Catholic School
