"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AGOVINO","BROWN","BROWN","VETTESE","ZIMMER","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"101","WILLOWDALE","001","U","TORONTO","45","24","3","3","59","0","0","0","134","404","St. Antoine Daniel Catholic School"
"101","WILLOWDALE","002","U","TORONTO","40","39","0","7","101","0","0","0","187","470","St. Antoine Daniel Catholic School"
"101","WILLOWDALE","003","U","TORONTO","53","21","0","10","115","0","0","0","199","521","St. Antoine Daniel Catholic School"
"101","WILLOWDALE","004","U","TORONTO","32","5","1","1","72","1","0","0","112","369","Edithvale Community Centre"
"101","WILLOWDALE","005","U","TORONTO","37","8","1","2","66","0","0","0","114","351","Edithvale Community Centre"
"101","WILLOWDALE","006","U","TORONTO","43","13","1","1","51","1","1","0","111","290","Yorkview Public School"
"101","WILLOWDALE","007","U","TORONTO","60","30","2","8","106","0","0","0","206","466","Yorkview Public School"
"101","WILLOWDALE","008","U","TORONTO","60","19","0","7","123","0","0","0","209","513","Yorkview Public School"
"101","WILLOWDALE","009","U","TORONTO","38","19","0","1","88","0","0","0","146","456","Edithvale Community Centre"
"101","WILLOWDALE","010","U","TORONTO","56","18","1","7","69","0","3","0","154","356","Yorkview Public School"
"101","WILLOWDALE","011","U","TORONTO","70","30","0","2","89","0","0","0","191","398","Churchill Public School"
"101","WILLOWDALE","012","U","TORONTO","73","18","1","4","118","0","0","0","214","483","Churchill Public School"
"101","WILLOWDALE","013","U","TORONTO","41","18","0","3","75","0","0","2","139","382","St. Edward the Confessor Church"
"101","WILLOWDALE","014","U","TORONTO","80","28","2","2","113","1","0","0","226","520","Yorkview Public School"
"101","WILLOWDALE","015","U","TORONTO","45","20","0","0","117","0","0","0","182","391","Churchill Public School"
"101","WILLOWDALE","016","U","TORONTO","66","22","2","4","110","0","0","0","204","427","Churchill Public School"
"101","WILLOWDALE","017","U","TORONTO","51","18","1","5","105","0","0","0","180","350","St. Edward the Confessor Church"
"101","WILLOWDALE","018","U","TORONTO","24","12","2","3","58","0","0","0","99","288","St. Edward the Confessor Church"
"101","WILLOWDALE","019","U","TORONTO","89","33","1","8","126","0","0","0","257","530","Willowdale Presbyterian Church"
"101","WILLOWDALE","020","U","TORONTO","39","14","1","2","111","0","0","2","169","414","Willowdale Presbyterian Church"
"101","WILLOWDALE","021","U","TORONTO","70","28","1","4","92","0","0","0","195","448","Willowdale Lawn Bowling Club"
