"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","DE VERTEUIL","DOMINATO","DUNCAN","LEVESQUE","MCAVOY","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"102","WINDSOR--TECUMSEH","001","U","WINDSOR","15","2","34","7","36","0","0","0","94","293","F. W. Begley Public School"
"102","WINDSOR--TECUMSEH","002","U","WINDSOR","15","1","40","1","32","0","0","0","89","291","F. W. Begley Public School"
"102","WINDSOR--TECUMSEH","003","U","WINDSOR","9","3","21","2","30","0","0","0","65","286","F. W. Begley Public School"
"102","WINDSOR--TECUMSEH","004","U","WINDSOR","12","0","25","1","24","1","0","0","63","243","F. W. Begley Public School"
"102","WINDSOR--TECUMSEH","005","U","WINDSOR","14","0","15","3","30","0","0","0","62","173","F. W. Begley Public School"
"102","WINDSOR--TECUMSEH","006","U","WINDSOR","10","2","40","1","30","0","0","1","84","322","F. W. Begley Public School"
"102","WINDSOR--TECUMSEH","007","U","WINDSOR","16","0","39","1","25","0","0","0","81","251","F. W. Begley Public School"
"102","WINDSOR--TECUMSEH","008","U","WINDSOR","8","6","35","4","24","0","1","0","78","331","King Edward School"
"102","WINDSOR--TECUMSEH","009","U","WINDSOR","15","2","41","3","59","0","0","0","120","404","King Edward School"
"102","WINDSOR--TECUMSEH","010","U","WINDSOR","20","3","61","5","52","1","2","0","144","396","King Edward School"
"102","WINDSOR--TECUMSEH","011","U","WINDSOR","13","3","40","4","51","2","0","0","113","379","Willistead Manor Coach House"
"102","WINDSOR--TECUMSEH","012","U","WINDSOR","47","2","107","6","39","0","0","0","201","369","Willistead Manor Coach House"
"102","WINDSOR--TECUMSEH","013","U","WINDSOR","38","0","69","10","55","1","0","0","173","417","Walkerville Collegiate Institute"
"102","WINDSOR--TECUMSEH","014","U","WINDSOR","17","2","32","3","32","0","1","0","87","295","Holy Trinity Church"
"102","WINDSOR--TECUMSEH","015","U","WINDSOR","17","3","37","1","35","0","0","0","93","312","Walkerville Collegiate Institute"
"102","WINDSOR--TECUMSEH","016","U","WINDSOR","14","1","78","6","35","1","0","0","135","317","Walkerville Collegiate Institute"
"102","WINDSOR--TECUMSEH","017","U","WINDSOR","42","0","90","4","50","1","0","2","189","410","Other Place Catering and Reception Centre"
"102","WINDSOR--TECUMSEH","018","U","WINDSOR","24","3","56","4","47","1","0","2","137","337","Other Place Catering and Reception Centre"
"102","WINDSOR--TECUMSEH","019","U","WINDSOR","25","4","45","5","63","1","0","0","143","355","Holy Trinity Church"
"102","WINDSOR--TECUMSEH","020","U","WINDSOR","19","3","39","1","58","0","0","0","120","316","Holy Trinity Church"
"102","WINDSOR--TECUMSEH","021","U","WINDSOR","11","4","36","4","34","0","0","1","90","296","Holy Trinity Church"
"102","WINDSOR--TECUMSEH","022","U","WINDSOR","16","1","41","0","44","0","0","0","102","334","Other Place Catering and Reception Centre"
"102","WINDSOR--TECUMSEH","023","U","WINDSOR","23","2","49","3","39","3","0","0","119","368","Scottish Club"
"102","WINDSOR--TECUMSEH","024","U","WINDSOR","38","6","58","2","60","3","0","0","167","402","Scottish Club"
"102","WINDSOR--TECUMSEH","025","U","WINDSOR","33","1","66","6","59","1","0","0","166","395","Scottish Club"
"102","WINDSOR--TECUMSEH","026","U","WINDSOR","18","2","36","2","52","0","0","0","110","419","Lions Manor"
"102","WINDSOR--TECUMSEH","027","U","WINDSOR","17","0","36","3","15","0","0","0","71","396","Lions Manor"
