"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","BRANCH","CHARIF","DUROCHER","PIRUZZA","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"103","WINDSOR WEST","001","U","WINDSOR","15","33","3","29","1","0","0","81","347","Immaculate Conception Elementary School"
"103","WINDSOR WEST","002","U","WINDSOR","6","33","2","15","0","0","0","56","234","All Saints Church"
"103","WINDSOR WEST","003","U","WINDSOR","10","24","6","25","2","0","0","67","310","All Saints Church"
"103","WINDSOR WEST","004","U","WINDSOR","13","27","1","19","0","1","0","61","288","St. Michael's School"
"103","WINDSOR WEST","005","U","WINDSOR","6","28","5","30","0","0","0","69","293","St. Michael's School"
"103","WINDSOR WEST","006","U","WINDSOR","20","19","2","33","0","1","0","75","207","Church of the Ascension"
"103","WINDSOR WEST","007","U","WINDSOR","23","59","4","48","1","1","0","136","530","Church of the Ascension"
"103","WINDSOR WEST","008","U","WINDSOR","20","55","6","34","3","0","0","118","404","Adie Knox Community Centre"
"103","WINDSOR WEST","009","U","WINDSOR","24","56","9","53","0","1","0","143","413","Church of the Ascension"
"103","WINDSOR WEST","010","U","WINDSOR","21","54","7","52","0","0","0","134","372","Church of the Ascension"
"103","WINDSOR WEST","011","U","WINDSOR","28","19","8","42","1","0","0","98","337","Church of the Ascension"
"103","WINDSOR WEST","012","U","WINDSOR","15","25","5","35","2","0","1","83","305","Church of the Ascension"
"103","WINDSOR WEST","013","U","WINDSOR","4","23","6","47","0","0","2","82","280","Vanier Hall - University of Windsor"
"103","WINDSOR WEST","014","U","WINDSOR","13","22","5","36","0","0","0","76","316","Vanier Hall - University of Windsor"
"103","WINDSOR WEST","015","U","WINDSOR","14","35","5","38","1","0","0","93","162","Vanier Hall - University of Windsor"
"103","WINDSOR WEST","016","U","WINDSOR","21","33","4","32","0","0","0","90","294","General Brock Public School"
"103","WINDSOR WEST","017","U","WINDSOR","13","40","8","29","0","1","0","91","417","General Brock Public School"
"103","WINDSOR WEST","018","U","WINDSOR","23","90","4","42","0","0","0","159","513","Sandwich Baptist Church"
"103","WINDSOR WEST","019","U","WINDSOR","12","35","0","14","0","0","0","61","298","Sandwich Baptist Church"
"103","WINDSOR WEST","020","U","WINDSOR","4","54","2","23","1","2","0","86","468","Sandwich Baptist Church"
"103","WINDSOR WEST","021","U","WINDSOR","16","66","5","31","0","0","0","118","448","College Avenue Centre"
"103","WINDSOR WEST","022","U","WINDSOR","16","23","2","16","1","0","0","58","273","College Avenue Centre"
"103","WINDSOR WEST","023","U","WINDSOR","8","34","4","40","0","0","0","86","451","General Brock Public School"
"103","WINDSOR WEST","024","U","WINDSOR","16","33","7","28","2","0","0","86","356","Vanier Hall - University of Windsor"
"103","WINDSOR WEST","025","U","WINDSOR","6","19","1","25","0","0","0","51","168","Vanier Hall - University of Windsor"
"103","WINDSOR WEST","026","U","WINDSOR","13","45","1","26","0","0","0","85","352","Adie Knox Community Centre"
"103","WINDSOR WEST","027","U","WINDSOR","11","38","2","41","0","0","0","92","389","Adie Knox Community Centre"
"103","WINDSOR WEST","028","U","WINDSOR","26","47","4","32","0","0","0","109","350","Adie Knox Community Centre"
"103","WINDSOR WEST","029","U","WINDSOR","4","23","3","26","0","0","0","56","322","St. Michael's School"
"103","WINDSOR WEST","030","U","WINDSOR","29","70","2","57","3","0","0","161","490","First Lutheran Church"
"103","WINDSOR WEST","031","U","WINDSOR","14","36","6","49","2","0","1","108","379","Dougall Avenue Public School"
"103","WINDSOR WEST","032","U","WINDSOR","27","45","11","60","2","0","1","146","456","Dougall Avenue Public School"
"103","WINDSOR WEST","033","U","WINDSOR","23","37","2","54","1","0","0","117","396","St. Michael's School"
"103","WINDSOR WEST","034","U","WINDSOR","5","15","3","15","0","0","0","38","334","Immaculate Conception Elementary School"
"103","WINDSOR WEST","035","U","WINDSOR","19","79","3","47","3","0","0","151","558","St. Angela Merici Hall"
"103","WINDSOR WEST","036","U","WINDSOR","6","20","2","16","0","0","0","44","188","Immaculate Conception Elementary School"
"103","WINDSOR WEST","037","U","WINDSOR","9","75","4","32","0","1","3","124","508","Immaculate Conception Elementary School"
"103","WINDSOR WEST","038","U","WINDSOR","26","68","7","73","3","0","0","177","545","St. Angela Merici Hall"
"103","WINDSOR WEST","039","U","WINDSOR","27","49","0","55","0","0","0","131","412","St. Angela Merici Hall"
"103","WINDSOR WEST","040","U","WINDSOR","26","19","5","26","0","0","0","76","245","St. Angela Catholic School"
"103","WINDSOR WEST","041","U","WINDSOR","39","65","3","89","1","1","0","198","479","St. Angela Merici Hall"
"103","WINDSOR WEST","042","U","WINDSOR","8","50","4","46","1","2","0","111","439","St. Angela Merici Hall"
"103","WINDSOR WEST","043","U","WINDSOR","16","24","3","29","1","0","0","73","352","Shaar Hashomayim School"
"103","WINDSOR WEST","044","U","WINDSOR","23","48","8","57","0","0","0","136","439","First Lutheran Church"
"103","WINDSOR WEST","045","U","WINDSOR","7","20","4","15","0","0","0","46","219","Adie Knox Community Centre"
"103","WINDSOR WEST","046","U","WINDSOR","20","52","6","41","0","0","0","119","441","Adie Knox Community Centre"
"103","WINDSOR WEST","047","U","WINDSOR","12","47","2","26","0","1","0","88","303","Adie Knox Community Centre"
"103","WINDSOR WEST","048","U","WINDSOR","12","35","8","25","0","0","0","80","264","St. John Elementary School"
"103","WINDSOR WEST","049","U","WINDSOR","11","32","1","27","0","0","0","71","239","St. John Elementary School"
"103","WINDSOR WEST","050","U","WINDSOR","11","30","2","21","0","0","0","64","249","St. John Elementary School"
"103","WINDSOR WEST","051","U","WINDSOR","7","36","3","36","0","0","0","82","293","Assumption College Roman Catholic High School"
"103","WINDSOR WEST","052","U","WINDSOR","23","40","1","21","0","0","0","85","288","College Avenue Centre"
"103","WINDSOR WEST","053","U","WINDSOR","21","50","2","27","0","1","0","101","296","Assumption College Roman Catholic High School"
"103","WINDSOR WEST","054","U","WINDSOR","18","34","5","35","0","0","0","92","294","Century Secondary School"
"103","WINDSOR WEST","055","U","WINDSOR","9","40","2","17","0","0","0","68","276","Century Secondary School"
"103","WINDSOR WEST","056","U","WINDSOR","16","40","2","22","0","0","0","80","235","Century Secondary School"
"103","WINDSOR WEST","057","U","WINDSOR","14","22","1","24","0","0","0","61","257","Century Secondary School"
"103","WINDSOR WEST","058","U","WINDSOR","15","33","1","24","0","0","0","73","353","École St. Edmond"
"103","WINDSOR WEST","059","U","WINDSOR","12","40","1","24","0","1","0","78","260","Assumption College Roman Catholic High School"
"103","WINDSOR WEST","060","U","WINDSOR","17","38","7","56","2","0","0","120","323","Assumption College Roman Catholic High School"
"103","WINDSOR WEST","061","U","WINDSOR","19","59","3","29","0","0","0","110","294","St. John Elementary School"
"103","WINDSOR WEST","062","U","WINDSOR","24","62","5","29","0","0","1","121","463","St. John Elementary School"
"103","WINDSOR WEST","063","U","WINDSOR","18","37","6","49","0","0","0","110","302","First Lutheran Church"
"103","WINDSOR WEST","064","U","WINDSOR","14","26","9","28","1","0","0","78","240","First Lutheran Church"
"103","WINDSOR WEST","065","U","WINDSOR","18","40","6","57","1","0","0","122","420","First Lutheran Church"
"103","WINDSOR WEST","066","U","WINDSOR","19","27","3","51","1","0","0","101","406","Shaar Hashomayim School"
"103","WINDSOR WEST","067","U","WINDSOR","25","72","9","64","2","1","0","173","442","Royal Canadian Legion 143"
"103","WINDSOR WEST","068","U","WINDSOR","39","41","5","40","1","0","0","126","366","St. Angela Catholic School"
"103","WINDSOR WEST","069","U","WINDSOR","10","29","2","32","0","0","0","73","243","Royal Canadian Legion 143"
"103","WINDSOR WEST","070","U","WINDSOR","24","36","8","31","0","1","0","100","365","Royal Canadian Legion 143"
"103","WINDSOR WEST","071","U","WINDSOR","13","19","0","14","0","0","0","46","239","Caboto Club"
"103","WINDSOR WEST","072","U","WINDSOR","13","32","3","33","0","1","0","82","438","Caboto Club"
"103","WINDSOR WEST","073","U","WINDSOR","16","21","3","25","1","0","0","66","361","Shaar Hashomayim School"
"103","WINDSOR WEST","074","U","WINDSOR","23","44","6","67","0","0","0","140","489","Caboto Club"
"103","WINDSOR WEST","075","U","WINDSOR","24","35","7","52","0","1","0","119","282","First Lutheran Church"
"103","WINDSOR WEST","076","U","WINDSOR","23","30","0","32","0","0","0","85","255","First Lutheran Church"
"103","WINDSOR WEST","077","U","WINDSOR","11","33","2","23","2","0","0","71","247","École St. Edmond"
"103","WINDSOR WEST","078","U","WINDSOR","32","40","7","80","0","0","0","159","359","École St. Edmond"
"103","WINDSOR WEST","079","U","WINDSOR","42","38","1","111","0","2","0","194","372","École St. Edmond"
"103","WINDSOR WEST","080","U","WINDSOR","20","33","6","88","1","2","0","150","343","École St. Edmond"
"103","WINDSOR WEST","081","U","WINDSOR","39","50","8","32","0","1","0","130","318","St. James School"
"103","WINDSOR WEST","082","U","WINDSOR","31","46","5","38","0","1","0","121","260","St. James School"
"103","WINDSOR WEST","083","U","WINDSOR","33","62","4","29","0","1","0","129","342","St. James School"
"103","WINDSOR WEST","084","U","WINDSOR","43","93","4","98","0","0","0","238","524","St. James School"
"103","WINDSOR WEST","085","U","WINDSOR","37","49","2","71","2","0","0","161","500","Holy Names High School"
"103","WINDSOR WEST","086","U","WINDSOR","17","30","3","49","0","0","0","99","450","Holy Names High School"
"103","WINDSOR WEST","087","U","WINDSOR","38","39","5","102","1","0","0","185","428","École St. Edmond"
"103","WINDSOR WEST","088","U","WINDSOR","19","69","4","53","0","0","0","145","396","Northwood Public School"
"103","WINDSOR WEST","089","U","WINDSOR","18","34","2","46","0","1","0","101","320","Holy Names High School"
"103","WINDSOR WEST","090","U","WINDSOR","47","50","7","99","0","1","0","204","464","Holy Names High School"
"103","WINDSOR WEST","091","U","WINDSOR","27","31","3","54","1","0","0","116","329","Holy Names High School"
"103","WINDSOR WEST","092","U","WINDSOR","8","67","3","53","1","2","0","134","470","Holy Names High School"
"103","WINDSOR WEST","093","U","WINDSOR","57","30","9","85","0","0","0","181","317","Northwood Public School"
"103","WINDSOR WEST","094","U","WINDSOR","50","59","2","103","0","2","0","216","485","Northwood Public School"
"103","WINDSOR WEST","095","U","WINDSOR","7","46","1","31","1","0","0","86","305","École St. Edmond"
"103","WINDSOR WEST","096","U","WINDSOR","13","31","3","17","0","0","0","64","283","First Lutheran Church"
"103","WINDSOR WEST","097","U","WINDSOR","38","14","5","41","0","0","1","99","301","Caboto Club"
"103","WINDSOR WEST","098","U","WINDSOR","22","40","4","38","0","0","0","104","435","Caboto Club"
"103","WINDSOR WEST","099","U","WINDSOR","29","40","5","50","4","1","0","129","427","Caboto Club"
"103","WINDSOR WEST","100","U","WINDSOR","21","54","3","44","0","0","0","122","299","Optimist Community Centre"
"103","WINDSOR WEST","101","U","WINDSOR","26","40","4","27","0","0","0","97","282","Optimist Community Centre"
"103","WINDSOR WEST","102","U","WINDSOR","16","28","6","29","0","0","0","79","275","Optimist Community Centre"
"103","WINDSOR WEST","103","U","WINDSOR","46","34","6","81","0","0","0","167","354","Optimist Community Centre"
"103","WINDSOR WEST","104","U","WINDSOR","56","28","5","98","0","0","0","187","369","Hugh Beaton Public School"
"103","WINDSOR WEST","105","U","WINDSOR","45","30","8","72","0","0","0","155","303","Hugh Beaton Public School"
"103","WINDSOR WEST","106","U","WINDSOR","47","37","9","84","0","0","1","178","358","Hugh Beaton Public School"
"103","WINDSOR WEST","107","U","WINDSOR","42","83","3","38","0","0","0","166","470","Caribbean Centre"
"103","WINDSOR WEST","108","U","WINDSOR","30","55","3","39","0","0","0","127","288","Club Alouette"
"103","WINDSOR WEST","109","U","WINDSOR","22","50","4","39","0","2","0","117","316","Club Alouette"
"103","WINDSOR WEST","110","U","WINDSOR","22","41","5","43","0","0","0","111","303","Club Alouette"
"103","WINDSOR WEST","111","U","WINDSOR","22","48","5","42","0","0","1","118","332","Club Alouette"
"103","WINDSOR WEST","112","U","WINDSOR","22","43","4","40","1","0","0","110","360","Club Alouette"
"103","WINDSOR WEST","113","U","WINDSOR","23","50","3","55","0","0","0","131","296","Caribbean Centre"
"103","WINDSOR WEST","114","U","WINDSOR","24","49","0","22","0","0","0","95","272","Caribbean Centre"
"103","WINDSOR WEST","115","U","WINDSOR","23","48","4","25","0","0","0","100","277","Caribbean Centre"
"103","WINDSOR WEST","116","U","WINDSOR","32","41","5","45","0","0","0","123","296","Hugh Beaton Public School"
"103","WINDSOR WEST","117","U","WINDSOR","39","41","4","62","1","1","0","148","323","Hugh Beaton Public School"
"103","WINDSOR WEST","118","U","WINDSOR","51","40","6","114","1","0","1","213","403","Hugh Beaton Public School"
"103","WINDSOR WEST","119","U","WINDSOR","29","24","2","42","0","0","1","98","213","Optimist Community Centre"
"103","WINDSOR WEST","120","U","WINDSOR","49","25","2","94","1","0","0","171","360","Optimist Community Centre"
"103","WINDSOR WEST","121","U","WINDSOR","16","14","2","27","0","0","0","59","338","Fogolar Furlan Club"
"103","WINDSOR WEST","122","U","WINDSOR","9","30","3","34","1","0","0","77","280","Our Lady of Perpetual Help School"
"103","WINDSOR WEST","123","U","WINDSOR","22","31","1","25","0","0","0","79","272","Our Lady of Perpetual Help School"
"103","WINDSOR WEST","124","U","WINDSOR","15","40","3","29","1","0","1","89","271","Our Lady of Perpetual Help School"
"103","WINDSOR WEST","125","U","WINDSOR","13","46","4","30","0","0","0","93","295","Fogolar Furlan Club"
"103","WINDSOR WEST","126","U","WINDSOR","40","69","4","53","2","2","0","170","437","Fogolar Furlan Club"
"103","WINDSOR WEST","127","U","WINDSOR","29","40","3","41","0","0","0","113","358","Our Lady of Perpetual Help School"
"103","WINDSOR WEST","128","U","WINDSOR","34","36","3","149","1","0","0","223","440","Our Lady of Perpetual Help School"
"103","WINDSOR WEST","129","U","WINDSOR","25","34","3","39","0","0","0","101","332","Our Lady of Perpetual Help School"
"103","WINDSOR WEST","130","U","WINDSOR","14","47","0","53","2","0","0","116","342","Our Lady of Perpetual Help School"
