"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","EPSTEIN","FAGAN","KWINTER","MOSTYN","PANCER","SHEVYRYOV","TAL","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"104","YORK CENTRE","001","U","TORONTO","1","11","68","107","1","1","1","1","0","0","191","499","Rockford Public School"
"104","YORK CENTRE","002","U","TORONTO","0","13","35","73","0","1","0","1","0","0","123","318","Rockford Public School"
"104","YORK CENTRE","003","U","TORONTO","1","26","48","55","0","2","0","0","0","0","132","296","Pleasant Public School"
"104","YORK CENTRE","004","U","TORONTO","2","22","89","44","0","2","1","1","0","0","161","430","Newtonbrook Secondary School"
"104","YORK CENTRE","005A","U","TORONTO","1","13","52","48","1","1","0","4","0","0","120","319","Newtonbrook Secondary School"
"104","YORK CENTRE","005B","U","TORONTO","1","15","56","32","0","0","0","0","1","0","105","289","Newtonbrook Secondary School"
"104","YORK CENTRE","006","U","TORONTO","1","21","67","36","0","2","3","1","0","0","131","362","Newtonbrook Secondary School"
"104","YORK CENTRE","007","U","TORONTO","2","24","102","69","0","3","0","1","0","0","201","418","Pleasant Public School"
"104","YORK CENTRE","008","U","TORONTO","2","13","38","42","1","1","0","0","0","0","97","249","Pleasant Public School"
"104","YORK CENTRE","009","U","TORONTO","5","16","20","88","0","5","0","8","0","0","142","284","Project Marc"
"104","YORK CENTRE","010","U","TORONTO","6","14","58","122","0","2","1","0","0","0","203","532","Rockford Public School"
"104","YORK CENTRE","011","U","TORONTO","2","14","64","149","0","2","1","0","0","0","232","532","Rockford Public School"
"104","YORK CENTRE","012","U","TORONTO","3","6","68","96","0","2","1","0","0","0","176","488","Rockford Public School"
"104","YORK CENTRE","013","U","TORONTO","0","14","102","133","2","1","0","0","0","0","252","586","Rockford Public School"
"104","YORK CENTRE","014","U","TORONTO","3","23","88","72","0","1","2","0","0","0","189","441","Fisherville Middle School"
"104","YORK CENTRE","015","U","TORONTO","5","21","95","53","1","3","0","0","1","0","179","415","R. J. Lang Elementary and Middle School"
"104","YORK CENTRE","016","U","TORONTO","5","19","100","46","0","2","0","0","0","0","172","517","R. J. Lang Elementary and Middle School"
"104","YORK CENTRE","017","U","TORONTO","13","14","64","39","0","0","0","0","0","0","130","411","R. J. Lang Elementary and Middle School"
"104","YORK CENTRE","018","U","TORONTO","2","17","67","64","0","3","2","0","0","0","155","348","Fisherville Middle School"
"104","YORK CENTRE","019","U","TORONTO","6","13","51","60","0","8","0","0","0","0","138","379","Herbert H. Carnegie Centre"
"104","YORK CENTRE","020","U","TORONTO","4","20","75","90","0","2","1","0","0","0","192","455","Herbert H. Carnegie Centre"
"104","YORK CENTRE","021","U","TORONTO","4","30","71","91","2","5","3","0","0","1","207","577","Herbert H. Carnegie Centre"
"104","YORK CENTRE","022","U","TORONTO","2","22","76","110","0","5","0","1","0","0","216","400","Charles H Best Elementary School"
"104","YORK CENTRE","023","U","TORONTO","2","13","64","35","0","2","0","0","0","0","116","341","Irving Chapley Community Centre"
"104","YORK CENTRE","024A","U","TORONTO","3","16","51","60","1","1","0","0","0","1","133","305","Charles H Best Elementary School"
"104","YORK CENTRE","024B","U","TORONTO","1","13","54","58","0","1","2","1","0","0","130","329","Charles H Best Elementary School"
"104","YORK CENTRE","025","U","TORONTO","0","12","133","118","0","5","0","1","0","0","269","529","Beth Emeth Bais Yehuda Synagogue"
"104","YORK CENTRE","026","U","TORONTO","5","10","55","64","0","0","0","0","0","0","134","301","National Council of Jewish Women"
"104","YORK CENTRE","027","U","TORONTO","1","17","40","24","1","0","0","0","0","0","83","223","National Council of Jewish Women"
"104","YORK CENTRE","028","U","TORONTO","0","17","92","103","0","1","0","1","1","0","215","415","B'Nai Brith Centre"
"104","YORK CENTRE","029","U","TORONTO","2","21","124","114","0","2","1","1","0","0","265","569","Beth Emeth Bais Yehuda Synagogue"
"104","YORK CENTRE","030","U","TORONTO","2","21","67","50","0","2","0","1","1","0","144","326","Irving Chapley Community Centre"
"104","YORK CENTRE","031A","U","TORONTO","4","29","85","48","2","3","0","1","0","0","172","368","William Lyon Mackenzie Collegiate Institute"
"104","YORK CENTRE","031B","U","TORONTO","2","21","82","35","0","5","0","1","0","0","146","364","William Lyon Mackenzie Collegiate Institute"
"104","YORK CENTRE","032","U","TORONTO","3","28","104","53","0","10","0","1","1","0","200","410","William Lyon Mackenzie Collegiate Institute"
"104","YORK CENTRE","033","U","TORONTO","0","14","78","59","4","1","0","2","0","0","158","359","Beth Emeth Bais Yehuda Synagogue"
"104","YORK CENTRE","034","U","TORONTO","3","29","129","104","1","2","1","0","0","0","269","560","B'Nai Brith Centre"
"104","YORK CENTRE","035A","U","TORONTO","0","19","86","35","0","3","0","2","0","0","145","369","William Lyon Mackenzie Collegiate Institute"
