"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","HARRISON","HELMAN","HODGINS","MUNRO","RESZLER","TAY","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"105","YORK--SIMCOE","001","U","COOKSTOWN","0","5","1","86","36","18","0","0","0","146","381","Cookstown Library and Community Centre"
"105","YORK--SIMCOE","002","U","COOKSTOWN","1","11","0","82","62","41","1","0","0","198","429","Cookstown Library and Community Centre"
"105","YORK--SIMCOE","003","U","COOKSTOWN","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","004","U","COOKSTOWN","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","005","U","COOKSTOWN","0","12","4","118","66","33","0","0","0","233","539","Cookstown Library and Community Centre"
"105","YORK--SIMCOE","006","U","INNISFIL","0","4","1","68","35","21","0","0","0","129","365","Sunnybrae Public School"
"105","YORK--SIMCOE","007","U","INNISFIL","0","6","0","87","21","23","2","0","0","139","299","Sunnybrae Public School"
"105","YORK--SIMCOE","008","U","INNISFIL","1","5","0","132","41","25","1","0","0","205","563","Innisfil Town Hall"
"105","YORK--SIMCOE","009","U","INNISFIL","4","17","0","94","64","23","1","0","0","203","433","Sunnybrae Public School"
"105","YORK--SIMCOE","010","U","INNISFIL","1","6","3","98","46","36","0","0","1","191","373","Sunnybrae Public School"
"105","YORK--SIMCOE","011","U","INNISFIL","0","14","1","102","64","45","0","0","0","226","469","Sunnybrae Public School"
"105","YORK--SIMCOE","012","U","INNISFIL","2","2","2","76","33","34","2","0","0","151","374","Sunnybrae Public School"
"105","YORK--SIMCOE","013","U","INNISFIL","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","014","U","COOKSTOWN","0","7","2","117","35","37","1","0","0","199","543","Cookstown Library and Community Centre"
"105","YORK--SIMCOE","015","U","INNISFIL","1","5","0","71","37","22","0","0","0","136","418","Innisfil Town Hall"
"105","YORK--SIMCOE","016","U","COOKSTOWN","0","11","0","84","34","34","0","0","0","163","472","Cookstown Library and Community Centre"
"105","YORK--SIMCOE","017","U","LEFROY","0","9","2","117","52","39","0","0","0","219","611","Killarney Beach Public School"
"105","YORK--SIMCOE","018","U","LEFROY","1","5","0","54","38","19","0","0","0","117","350","Killarney Beach Public School"
"105","YORK--SIMCOE","019","U","LEFROY","1","8","4","65","40","30","0","0","0","148","382","Killarney Beach Public School"
"105","YORK--SIMCOE","020","U","LEFROY","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","021","U","LEFROY","2","6","2","49","34","28","0","0","0","121","340","Killarney Beach Public School"
"105","YORK--SIMCOE","022","U","LEFROY","2","6","1","51","25","32","0","0","1","118","321","Killarney Beach Public School"
"105","YORK--SIMCOE","023","U","LEFROY","0","7","3","67","32","34","1","0","0","144","416","Killarney Beach Public School"
"105","YORK--SIMCOE","024","U","INNISFIL","4","8","0","73","26","47","2","0","0","160","490","Nantyr Shores Secondary School"
"105","YORK--SIMCOE","025","U","INNISFIL","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","026","U","INNISFIL","0","4","0","45","33","22","0","0","0","104","379","Nantyr Shores Secondary School"
"105","YORK--SIMCOE","027","U","INNISFIL","..........................NO POLL HELD..........................","","","","","","","","","","",""
"105","YORK--SIMCOE","028","U","INNISFIL","0","8","1","78","31","27","1","0","0","146","400","St. Francis of Assisi Elementary School"
"105","YORK--SIMCOE","029","U","INNISFIL","1","5","2","86","26","33","1","0","0","154","365","St. Francis of Assisi Elementary School"
"105","YORK--SIMCOE","030","U","INNISFIL","1","3","3","86","37","30","0","0","0","160","397","St. Francis of Assisi Elementary School"
"105","YORK--SIMCOE","031","U","INNISFIL","0","9","2","53","31","23","2","0","0","120","342","Nantyr Shores Secondary School"
"105","YORK--SIMCOE","032","U","INNISFIL","..........................NO POLL HELD..........................","","","","","","","","","","",""
