"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","ALBANESE","COMPTON","DANIEL","FERREIRA","JARRETT","RADEJEWSKY","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"106","YORK SOUTH--WESTON","001","U","TORONTO","48","0","14","31","5","0","1","0","0","99","296","Pelmo Park Public School"
"106","YORK SOUTH--WESTON","002","U","TORONTO","100","0","30","95","5","1","5","0","0","236","453","Pelmo Community Centre"
"106","YORK SOUTH--WESTON","003","U","TORONTO","63","0","21","77","6","0","3","0","0","170","353","Pelmo Community Centre"
"106","YORK SOUTH--WESTON","004","U","TORONTO","109","1","19","81","6","0","1","1","0","218","417","Pelmo Community Centre"
"106","YORK SOUTH--WESTON","005","U","TORONTO","102","0","28","72","3","0","1","0","0","206","382","Pelmo Community Centre"
"106","YORK SOUTH--WESTON","006","U","TORONTO","102","1","20","62","1","0","0","0","0","186","358","Falstaff Community Centre"
"106","YORK SOUTH--WESTON","007","U","TORONTO","96","0","3","99","2","1","0","0","0","201","543","Falstaff Community Centre"
"106","YORK SOUTH--WESTON","008","U","TORONTO","72","0","4","65","0","1","0","0","0","142","360","Falstaff Community Centre"
"106","YORK SOUTH--WESTON","009","U","TORONTO","90","1","19","73","3","1","3","0","0","190","367","Falstaff Community Centre"
"106","YORK SOUTH--WESTON","010","U","TORONTO","131","1","16","59","1","0","1","1","0","210","393","Nelson A. Boylen Collegiate Institute"
"106","YORK SOUTH--WESTON","011","U","TORONTO","108","0","20","67","0","0","0","0","0","195","484","Nelson A. Boylen Collegiate Institute"
"106","YORK SOUTH--WESTON","012","U","TORONTO","124","0","10","35","0","0","3","1","0","173","341","St. Fidelis Catholic School"
"106","YORK SOUTH--WESTON","013","U","TORONTO","87","1","12","58","2","0","0","0","0","160","369","St. Fidelis Catholic School"
"106","YORK SOUTH--WESTON","014","U","TORONTO","113","1","23","51","6","2","0","0","0","196","469","École publique Maison Montessori"
"106","YORK SOUTH--WESTON","015","U","TORONTO","131","0","8","53","1","0","1","0","0","194","363","École publique Maison Montessori"
"106","YORK SOUTH--WESTON","016","U","TORONTO","149","0","20","33","1","0","1","0","0","204","359","École publique Maison Montessori"
"106","YORK SOUTH--WESTON","017","U","TORONTO","80","3","13","37","1","0","1","0","0","135","283","École publique Maison Montessori"
"106","YORK SOUTH--WESTON","018","U","TORONTO","170","1","43","51","0","0","0","0","0","265","409","Maple Leaf Public School"
"106","YORK SOUTH--WESTON","019","U","TORONTO","143","0","30","84","5","0","1","0","0","263","467","Maple Leaf Public School"
"106","YORK SOUTH--WESTON","020","U","TORONTO","155","0","19","41","2","0","2","0","0","219","395","Maple Leaf Public School"
"106","YORK SOUTH--WESTON","021","U","TORONTO","39","0","12","69","1","0","0","0","0","121","287","Pelmo Park Public School"
"106","YORK SOUTH--WESTON","022","U","TORONTO","82","1","27","83","5","0","0","0","0","198","356","Pelmo Park Public School"
"106","YORK SOUTH--WESTON","023","U","TORONTO","120","1","21","64","4","0","1","1","0","212","359","Pelmo Community Centre"
"106","YORK SOUTH--WESTON","024","U","TORONTO","35","0","28","92","2","0","0","0","0","157","373","Pelmo Park Public School"
"106","YORK SOUTH--WESTON","025","U","TORONTO","33","1","13","43","3","0","0","0","0","93","373","Weston Public Library"
"106","YORK SOUTH--WESTON","026","U","TORONTO","42","1","12","42","0","1","0","0","0","98","387","Weston Public Library"
"106","YORK SOUTH--WESTON","027","U","TORONTO","37","1","12","65","3","0","0","1","0","119","346","Weston Public Library"
"106","YORK SOUTH--WESTON","028","U","TORONTO","41","2","21","70","3","0","0","0","0","137","370","H. J. Alexander Community School"
"106","YORK SOUTH--WESTON","029","U","TORONTO","16","0","6","47","0","0","0","0","0","69","178","H. J. Alexander Community School"
"106","YORK SOUTH--WESTON","030","U","TORONTO","90","0","23","90","1","0","0","0","0","204","444","Pelmo Park Public School"
"106","YORK SOUTH--WESTON","031","U","TORONTO","52","1","11","78","3","0","1","0","0","146","335","Pelmo Park Public School"
"106","YORK SOUTH--WESTON","032","U","TORONTO","35","0","5","46","1","0","1","0","0","88","159","Weston Memorial Junior Public School"
"106","YORK SOUTH--WESTON","033","U","TORONTO","44","0","10","42","3","0","1","1","0","101","283","Weston Memorial Junior Public School"
"106","YORK SOUTH--WESTON","034","U","TORONTO","70","0","17","78","1","0","0","0","1","167","329","Weston Memorial Junior Public School"
"106","YORK SOUTH--WESTON","035","U","TORONTO","60","1","25","94","5","0","2","2","0","189","342","Weston Memorial Junior Public School"
"106","YORK SOUTH--WESTON","036","U","TORONTO","74","1","12","107","2","0","0","0","0","196","504","Weston Memorial Junior Public School"
"106","YORK SOUTH--WESTON","037","U","TORONTO","74","3","18","76","0","0","1","0","0","172","318","Weston Memorial Junior Public School"
"106","YORK SOUTH--WESTON","038","U","TORONTO","56","1","4","44","0","0","0","0","0","105","377","St. Bernard Catholic School"
"106","YORK SOUTH--WESTON","039","U","TORONTO","47","0","5","34","0","0","0","0","0","86","198","St. Bernard Catholic School"
"106","YORK SOUTH--WESTON","040","U","TORONTO","167","2","37","56","1","0","4","1","0","268","466","Amesbury Middle School"
"106","YORK SOUTH--WESTON","041","U","TORONTO","98","0","18","62","1","1","0","0","0","180","415","St. Francis Xavier Catholic School"
"106","YORK SOUTH--WESTON","042","U","TORONTO","103","0","15","20","1","0","0","0","0","139","329","St. Francis Xavier Catholic School"
