"ED_CODE","ED_NAME","POLL_NUMBER","RURAL_INDICATOR","PLACE_NAME","AITCHISON","BAPTISTE","CORNELL","NATION","RAKOCEVIC","RINI","SERGIO","REJECTED","UNMARKED","DECLINED","VOTER_TURNOUT","ELECTORS","POLL_LOCATION"
"107","YORK WEST","001","U","TORONTO","1","0","1","34","65","3","164","0","1","0","269","483","Venerable John Merlini Catholic School"
"107","YORK WEST","002","U","TORONTO","0","0","0","26","78","1","96","0","0","0","201","413","Venerable John Merlini Catholic School"
"107","YORK WEST","003","U","TORONTO","0","1","1","8","37","0","131","4","0","0","182","436","St. Roch Catholic School"
"107","YORK WEST","004","U","TORONTO","0","0","0","8","21","2","69","0","0","2","102","263","Venerable John Merlini Catholic School"
"107","YORK WEST","005","U","TORONTO","0","1","2","25","55","0","72","1","1","0","157","402","Venerable John Merlini Catholic School"
"107","YORK WEST","006","U","TORONTO","0","1","1","22","24","4","73","2","0","0","127","300","Venerable John Merlini Catholic School"
"107","YORK WEST","007","U","TORONTO","0","0","0","21","32","2","109","2","0","0","166","355","Venerable John Merlini Catholic School"
"107","YORK WEST","008","U","TORONTO","1","0","2","10","57","0","62","0","0","0","132","358","St. Roch Catholic School"
"107","YORK WEST","009","U","TORONTO","1","0","1","16","56","0","84","0","0","0","158","368","St. Roch Catholic School"
"107","YORK WEST","010","U","TORONTO","0","0","2","32","50","1","117","1","1","0","204","455","St. Roch Catholic School"
"107","YORK WEST","011","U","TORONTO","0","0","0","7","28","1","84","1","0","0","121","299","Humber Summit Middle School"
"107","YORK WEST","012","U","TORONTO","0","0","0","4","68","0","86","1","0","0","159","353","Gracedale Public School"
"107","YORK WEST","013","U","TORONTO","0","1","0","20","75","3","88","0","0","0","187","409","Gracedale Public School"
"107","YORK WEST","014","U","TORONTO","0","0","0","20","84","0","105","0","0","0","209","450","St. Roch Catholic School"
"107","YORK WEST","015","U","TORONTO","0","0","0","17","66","0","68","1","0","0","152","356","Gracedale Public School"
"107","YORK WEST","016","U","TORONTO","0","0","0","15","62","4","72","0","0","0","153","341","Gracedale Public School"
"107","YORK WEST","017","U","TORONTO","0","0","0","9","50","1","94","0","0","0","154","546","2350 Finch Avenue West"
"107","YORK WEST","018A","U","TORONTO","0","0","1","13","48","0","91","1","0","0","154","438","Ahmadiyya Abode of Peace"
"107","YORK WEST","018B","U","TORONTO","0","1","1","15","47","3","70","0","0","0","137","436","Ahmadiyya Abode of Peace"
"107","YORK WEST","019","U","TORONTO","0","0","0","5","56","0","91","0","0","0","152","366","Ahmadiyya Abode of Peace"
"107","YORK WEST","020","U","TORONTO","0","1","0","23","37","2","57","0","0","0","120","340","Daystrom Public School"
"107","YORK WEST","021","U","TORONTO","1","0","0","21","66","1","78","2","1","0","170","375","Daystrom Public School"
"107","YORK WEST","022","U","TORONTO","0","0","1","15","39","0","49","0","0","1","105","274","Daystrom Public School"
"107","YORK WEST","023","U","TORONTO","0","0","1","13","53","1","70","0","0","0","138","309","Daystrom Public School"
"107","YORK WEST","024","U","TORONTO","0","1","0","24","50","1","69","0","1","0","146","370","Daystrom Public School"
